"time","cell.cal.i_ion","cell.naca.i_ion","cell.cal.i","cell.naca.i"
0.0042,-8.19602781629106e-15,-4.639915920613246e-11,-8.19602781629106e-15,-4.639915920613246e-11
0.0043,-8.293844040608489e-15,-4.623881084233663e-11,-8.293844040608489e-15,-4.623881084233663e-11
0.0044,-8.425348486392878e-15,-4.607523032318605e-11,-8.425348486392878e-15,-4.607523032318605e-11
0.0045,-8.589363597567023e-15,-4.590873929221663e-11,-8.589363597567023e-15,-4.590873929221663e-11
0.0046,-8.784851541626188e-15,-4.573963890967601e-11,-8.784851541626188e-15,-4.573963890967601e-11
0.0047,-9.010908664017006e-15,-4.556821008840351e-11,-9.010908664017006e-15,-4.556821008840351e-11
0.0048,-9.266746792324019e-15,-4.539471793094358e-11,-9.266746792324019e-15,-4.539471793094358e-11
0.0049,-9.551685285215393e-15,-4.521941121798904e-11,-9.551685285215393e-15,-4.521941121798904e-11
0.005,-9.865138488207327e-15,-4.504252296976147e-11,-9.865138488207327e-15,-4.504252296976147e-11
0.0051,-1.020660671736371e-14,-4.486427258435632e-11,-1.020660671736371e-14,-4.486427258435632e-11
0.0052,-1.057566812585034e-14,-4.468486309480707e-11,-1.057566812585034e-14,-4.468486309480707e-11
0.0053,-1.097196901289973e-14,-4.450448341950283e-11,-1.097196901289973e-14,-4.450448341950283e-11
0.0054,-1.139521905492353e-14,-4.432331102034747e-11,-1.139521905492353e-14,-4.432331102034747e-11
0.0055,-1.184518120442493e-14,-4.41415106220615e-11,-1.184518120442493e-14,-4.41415106220615e-11
0.0056,-1.232166959865159e-14,-4.395923813724457e-11,-1.232166959865159e-14,-4.395923813724457e-11
0.0057,-1.28245392638175e-14,-4.377664005232782e-11,-1.28245392638175e-14,-4.377664005232782e-11
0.0058,-1.335368615863703e-14,-4.359384998358852e-11,-1.335368615863703e-14,-4.359384998358852e-11
0.0059,-1.39090368762346e-14,-4.341099326297555e-11,-1.39090368762346e-14,-4.341099326297555e-11
0.006,-1.449055029979396e-14,-4.322818446794422e-11,-1.449055029979396e-14,-4.322818446794422e-11
0.0061,-1.50982075100277e-14,-4.30455286872028e-11,-1.50982075100277e-14,-4.30455286872028e-11
0.0062,-1.573201447723126e-14,-4.286312816071819e-11,-1.573201447723126e-14,-4.286312816071819e-11
0.0063,-1.639199244939734e-14,-4.268107655734351e-11,-1.639199244939734e-14,-4.268107655734351e-11
0.0064,-1.70781811157178e-14,-4.249946054169585e-11,-1.70781811157178e-14,-4.249946054169585e-11
0.0065,-1.779062983360336e-14,-4.231836265551212e-11,-1.779062983360336e-14,-4.231836265551212e-11
0.0066,-1.852940070850054e-14,-4.213785267682547e-11,-1.852940070850054e-14,-4.213785267682547e-11
0.0067,-1.929456105623818e-14,-4.195799603331884e-11,-1.929456105623818e-14,-4.195799603331884e-11
0.0068,-2.008618602296318e-14,-4.177885606458293e-11,-2.008618602296318e-14,-4.177885606458293e-11
0.0069,-2.090435223763423e-14,-4.160048816768188e-11,-2.090435223763423e-14,-4.160048816768188e-11
0.007,-2.174914001199648e-14,-4.142294889661689e-11,-2.174914001199648e-14,-4.142294889661689e-11
0.0071,-2.262062803152934e-14,-4.124629053096138e-11,-2.262062803152934e-14,-4.124629053096138e-11
0.0072,-2.351889520308583e-14,-4.107055356406281e-11,-2.351889520308583e-14,-4.107055356406281e-11
0.0073,-2.444401620942417e-14,-4.089577840916393e-11,-2.444401620942417e-14,-4.089577840916393e-11
0.0074,-2.539606312768864e-14,-4.072199883241555e-11,-2.539606312768864e-14,-4.072199883241555e-11
0.0075,-2.637510168599776e-14,-4.054924363365518e-11,-2.637510168599776e-14,-4.054924363365518e-11
0.0076,-2.738119290063468e-14,-4.037754870427127e-11,-2.738119290063468e-14,-4.037754870427127e-11
0.0077,-2.841438951774856e-14,-4.020694454565782e-11,-2.841438951774856e-14,-4.020694454565782e-11
0.0078,-2.947473669564519e-14,-4.003745882395067e-11,-2.947473669564519e-14,-4.003745882395067e-11
0.007900000000000001,-3.056227137881727e-14,-3.986910867329016e-11,-3.056227137881727e-14,-3.986910867329016e-11
0.008,-3.167701951202028e-14,-3.970191805463819e-11,-3.167701951202028e-14,-3.970191805463819e-11
0.0081,-3.281899883393922e-14,-3.953589830209934e-11,-3.281899883393922e-14,-3.953589830209934e-11
0.008200000000000001,-3.39882159467842e-14,-3.937105549186571e-11,-3.39882159467842e-14,-3.937105549186571e-11
0.0083,-3.518466481693719e-14,-3.920739172961447e-11,-3.518466481693719e-14,-3.920739172961447e-11
0.008399999999999999,-3.640833139000093e-14,-3.904493508961253e-11,-3.640833139000093e-14,-3.904493508961253e-11
0.008500000000000001,-3.765918654104615e-14,-3.888368972201608e-11,-3.765918654104615e-14,-3.888368972201608e-11
0.0086,-3.893718989724831e-14,-3.872366925257314e-11,-3.893718989724831e-14,-3.872366925257314e-11
0.008699999999999999,-4.024229127726091e-14,-3.856489340983548e-11,-4.024229127726091e-14,-3.856489340983548e-11
0.008800000000000001,-4.157442495303636e-14,-3.840738390983852e-11,-4.157442495303636e-14,-3.840738390983852e-11
0.0089,-4.293351373820175e-14,-3.825113995212565e-11,-4.293351373820175e-14,-3.825113995212565e-11
0.008999999999999999,-4.431946807415352e-14,-3.809612819296376e-11,-4.431946807415352e-14,-3.809612819296376e-11
0.0091,-4.573218402633867e-14,-3.794233865126839e-11,-4.573218402633867e-14,-3.794233865126839e-11
0.0092,-4.717154648467889e-14,-3.778979099895729e-11,-4.717154648467889e-14,-3.778979099895729e-11
0.009299999999999999,-4.863742767383576e-14,-3.763848504819618e-11,-4.863742767383576e-14,-3.763848504819618e-11
0.0094,-5.012968678287324e-14,-3.748840712234944e-11,-5.012968678287324e-14,-3.748840712234944e-11
0.0095,-5.164816838083639e-14,-3.733957444640004e-11,-5.164816838083639e-14,-3.733957444640004e-11
0.009599999999999999,-5.319270661929493e-14,-3.719198358146711e-11,-5.319270661929493e-14,-3.719198358146711e-11
0.0097,-5.476312231295107e-14,-3.704563535362807e-11,-5.476312231295107e-14,-3.704563535362807e-11
0.0098,-5.63592231959022e-14,-3.690052074388656e-11,-5.63592231959022e-14,-3.690052074388656e-11
0.009900000000000001,-5.798080518987089e-14,-3.675664163741681e-11,-5.798080518987089e-14,-3.675664163741681e-11
0.01,-5.96276518337029e-14,-3.661398557197343e-11,-5.96276518337029e-14,-3.661398557197343e-11
0.0101,-6.129953443518391e-14,-3.647253346919961e-11,-6.129953443518391e-14,-3.647253346919961e-11
0.0102,-6.299621186442778e-14,-3.633227354836221e-11,-6.299621186442778e-14,-3.633227354836221e-11
0.0103,-6.471743340166098e-14,-3.619320750905099e-11,-6.471743340166098e-14,-3.619320750905099e-11
0.0104,-6.646293518740188e-14,-3.605532602112848e-11,-6.646293518740188e-14,-3.605532602112848e-11
0.0105,-6.823244173512781e-14,-3.591861924926519e-11,-6.823244173512781e-14,-3.591861924926519e-11
0.0106,-7.002567013161547e-14,-3.578309588973696e-11,-7.002567013161547e-14,-3.578309588973696e-11
0.0107,-7.184232268483448e-14,-3.564875151325699e-11,-7.184232268483448e-14,-3.564875151325699e-11
0.0108,-7.368209275501825e-14,-3.551558080176231e-11,-7.368209275501825e-14,-3.551558080176231e-11
0.0109,-7.554466581265507e-14,-3.538355891161324e-11,-7.554466581265507e-14,-3.538355891161324e-11
0.011,-7.742971483020987e-14,-3.525267265245692e-11,-7.742971483020987e-14,-3.525267265245692e-11
0.0111,-7.933690644469534e-14,-3.512291261117573e-11,-7.933690644469534e-14,-3.512291261117573e-11
0.0112,-8.126589785223532e-14,-3.499427179934777e-11,-8.126589785223532e-14,-3.499427179934777e-11
0.0113,-8.321633489713362e-14,-3.486672980187372e-11,-8.321633489713362e-14,-3.486672980187372e-11
0.0114,-8.518786025656771e-14,-3.474029002413958e-11,-8.518786025656771e-14,-3.474029002413958e-11
0.0115,-8.71801042807814e-14,-3.461494336025964e-11,-8.71801042807814e-14,-3.461494336025964e-11
