"time","ca_cyto.c.c","ca_nsr.c.c"
0.0251,6.706620347291476e-07,1.072652431215183
0.0252,6.564244351198863e-07,1.072652983535857
0.0253,6.424887654531716e-07,1.072653524143732
0.0254,6.28848636261482e-07,1.072654053286676
0.0255,6.15497794627847e-07,1.072654571207256
0.0256,6.024301155280616e-07,1.072655078143084
0.0257,5.896396045414423e-07,1.0726555743267
0.0258,5.771203970366974e-07,1.072656059985612
0.0259,5.648667472631876e-07,1.072656535342715
0.026,5.528730319918939e-07,1.072657000616152
0.0261,5.411337488720761e-07,1.072657456019377
0.0262,5.296435082919929e-07,1.072657901761469
0.0263,5.183970348609211e-07,1.072658338047076
0.0264,5.07389169443019e-07,1.072658765076338
0.0265,4.966148563293634e-07,1.072659183045381
0.0266,4.860691476346893e-07,1.072659592146149
0.0267,4.757472027176927e-07,1.072659992566427
0.0268,4.656442798268498e-07,1.072660384490159
0.0269,4.557557374366225e-07,1.072660768097408
0.027,4.460770357798042e-07,1.072661143564282
0.0271,4.366037279339989e-07,1.072661511063293
0.0272,4.273314603004199e-07,1.072661870763331
0.0273,4.182559736285547e-07,1.072662222829625
0.0274,4.093730975274739e-07,1.072662567423956
0.0275,4.006787482321441e-07,1.072662904704748
0.0276,3.92168930652586e-07,1.072663234826982
0.0277,3.838397342853917e-07,1.072663557942358
0.0278,3.75687328838018e-07,1.072663874199466
0.0279,3.677079666972296e-07,1.072664183743687
0.028,3.598979803738966e-07,1.072664486717295
0.0281,3.522537774795546e-07,1.072664783259648
0.0282,3.447718428785286e-07,1.072665073507111
0.0283,3.374487376143945e-07,1.072665357593091
0.0284,3.30281092446521e-07,1.072665635648292
0.0285,3.232656104119395e-07,1.072665907800612
0.0286,3.163990662267645e-07,1.072666174175171
0.0287,3.096783000657419e-07,1.072666434894548
0.0288,3.031002195789885e-07,1.072666690078705
0.0289,2.966618004625234e-07,1.072666939844964
0.029,2.903600792292502e-07,1.072667184308288
0.0291,2.841921556432469e-07,1.072667423581186
0.0292,2.781551933860819e-07,1.072667657773687
0.0293,2.722464132724148e-07,1.072667886993605
0.0294,2.664630953482224e-07,1.072668111346456
0.0295,2.608025795014108e-07,1.072668330935433
0.0296,2.552622598405737e-07,1.072668545861627
0.0297,2.498395855402397e-07,1.072668756223992
0.0298,2.445320614367687e-07,1.072668962119323
0.0299,2.393372442385004e-07,1.072669163642404
0.03,2.342527416879672e-07,1.072669360886038
0.0301,2.292762135722366e-07,1.072669553941008
0.0302,2.244053690555909e-07,1.072669742896183
0.0303,2.196379646688734e-07,1.072669927838595
0.0304,2.149718055251993e-07,1.072670108853389
0.0305,2.104047436250659e-07,1.072670286023894
0.0306,2.059346750669676e-07,1.072670459431726
0.0307,2.015595413532213e-07,1.072670629156741
0.0308,1.972773284746893e-07,1.072670795277068
0.0309,1.930860634459514e-07,1.072670957869246
0.031,1.889838157270607e-07,1.072671117008166
0.0311,1.84968696840432e-07,1.072671272767089
0.0312,1.810388566173597e-07,1.072671425217787
0.0313,1.771924845597384e-07,1.072671574430496
0.0314,1.734278099495479e-07,1.072671720473908
0.0315,1.697430978101362e-07,1.072671863415327
0.0316,1.661366502769996e-07,1.072672003320619
0.0317,1.626068069689952e-07,1.072672140254196
0.0318,1.59151940969082e-07,1.07267227427917
0.0319,1.557704601045265e-07,1.072672405457307
0.032,1.524608073534791e-07,1.072672533849008
0.0321,1.492214572805872e-07,1.072672659513451
0.0322,1.460509168754309e-07,1.072672782508553
0.0323,1.42947725835191e-07,1.072672902890964
0.0324,1.399104540582683e-07,1.072673020716162
0.0325,1.36937701466778e-07,1.072673136038461
0.0326,1.340280985298098e-07,1.072673248910989
0.0327,1.311803044950831e-07,1.072673359385757
0.0328,1.283930064617164e-07,1.072673467513698
0.0329,1.256649200495538e-07,1.072673573344637
0.033,1.229947882395101e-07,1.072673676927336
0.0331,1.203813798994681e-07,1.072673778309557
0.0332,1.178234905405664e-07,1.072673877538023
0.0333,1.153199416352819e-07,1.072673974658455
0.0334,1.128695787460133e-07,1.072674069715636
0.0335,1.104712723300452e-07,1.072674162753385
0.0336,1.081239174206789e-07,1.072674253814567
0.0337,1.058264315140301e-07,1.072674342941175
0.0338,1.035777553721808e-07,1.072674430174301
0.0339,1.01376852990944e-07,1.072674515554135
0.034,9.922270932962727e-08,1.072674599120053
0.0341,9.711433110013824e-08,1.072674680910588
0.0342,9.505074693501894e-08,1.072674760963422
0.0343,9.303100506513486e-08,1.072674839315477
0.0344,9.105417406341231e-08,1.072674916002887
0.0345,8.911934315406032e-08,1.072674991060982
0.0346,8.722561991166512e-08,1.072675064524384
0.0347,8.537213099040503e-08,1.072675136426972
0.0348,8.355802223489855e-08,1.07267520680188
0.0349,8.178245704929062e-08,1.072675275681564
0.035,8.004461649006208e-08,1.072675343097792
0.0351,7.834369952608368e-08,1.07267540908164
0.0352,7.667892187729178e-08,1.072675473663532
0.0353,7.504951562669649e-08,1.072675536873257
0.0354,7.345472957935783e-08,1.072675598739957
0.0355,7.189382848020511e-08,1.072675659292155
0.0356,7.036609226960131e-08,1.072675718557784
0.0357,6.887081650479395e-08,1.072675776564171
0.0358,6.740731187652532e-08,1.072675833338058
0.0359,6.597490320898386e-08,1.072675888905635
0.036,6.457292991512925e-08,1.07267594329253
0.0361,6.320074574553806e-08,1.072675996523813
0.0362,6.185771761822599e-08,1.072676048624042
0.0363,6.054322608341128e-08,1.072676099617248
0.0364,5.925666525127107e-08,1.072676149526936
0.0365,5.799744151566898e-08,1.072676198376132
0.0366,5.67649740127252e-08,1.072676246187372
0.0367,5.555869468073943e-08,1.072676292982691
0.0368,5.437804693366478e-08,1.072676338783681
0.0369,5.322248609863391e-08,1.072676383611471
0.037,5.209147957288364e-08,1.072676427486725
0.0371,5.098450548622354e-08,1.072676470429685
0.0372,4.990105313492299e-08,1.072676512460164
0.0373,4.884062307875063e-08,1.072676553597537
0.0374,4.780272607741123e-08,1.072676593860783
0.0375,4.67868832657463e-08,1.072676633268478
0.0376,4.579262627585896e-08,1.072676671838793
