"time","l2.v","vc.is_peak","vc.v_pulse","vc.vs_peak","vc.v"
1.06,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.07,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.08,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.09,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.1,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.11,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.12,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.13,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.14,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.15,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.16,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.17,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.18,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.19,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.2,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.21,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.22,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.23,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.24,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.25,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.26,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.27,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.28,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.29,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.3,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.31,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.32,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.33,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.34,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.35,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.36,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.37,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.38,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.39,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.4,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.41,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.42,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.43,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.44,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
