"time","ca.cyto.con","ca.jsr.con","ca.nsr.con","ca.sub.con","cal.i_ion","naca.i_ion","cal.i","naca.i"
0.1118,0.0005632016732287137,0.06487217167211826,1.240015961519871,0.0005042086664919589,-1.997192796589918e-11,-1.998578538721729e-11,-1.997192796589918e-11,-1.998578538721729e-11
0.1119,0.0005629503392139703,0.0649175585329119,1.240055414315415,0.0005039441187473929,-1.994157250830443e-11,-1.997060382933176e-11,-1.994157250830443e-11,-1.997060382933176e-11
0.112,0.0005626991521976992,0.06496297231550273,1.240094812406739,0.0005036797066939984,-1.991124907007995e-11,-1.995543820238137e-11,-1.991124907007995e-11,-1.995543820238137e-11
0.1121,0.0005624481118871562,0.06500841303847235,1.240134155816427,0.0005034154300593664,-1.988095764938675e-11,-1.994028850390149e-11,-1.988095764938675e-11,-1.994028850390149e-11
0.1122,0.0005621972179908317,0.06505388072025892,1.240173444567028,0.0005031512885747143,-1.985069824438211e-11,-1.992515473139694e-11,-1.985069824438211e-11,-1.992515473139694e-11
0.1123,0.0005619464702184457,0.06509937537915204,1.24021267868105,0.0005028872819749148,-1.982047085322084e-11,-1.991003688234205e-11,-1.982047085322084e-11,-1.991003688234205e-11
0.1124,0.0005616958682809436,0.06514489703328805,1.240251858180966,0.0005026234099985258,-1.979027547405626e-11,-1.989493495418073e-11,-1.979027547405626e-11,-1.989493495418073e-11
0.1125,0.0005614454118904927,0.06519044570064497,1.240290983089211,0.0005023596723878188,-1.976011210504143e-11,-1.987984894432648e-11,-1.976011210504143e-11,-1.987984894432648e-11
0.1126,0.0005611951007604768,0.06523602139903777,1.240330053428181,0.0005020960688888078,-1.97299807443303e-11,-1.98647788501625e-11,-1.97299807443303e-11,-1.98647788501625e-11
0.1127,0.0005609449346054926,0.0652816241461132,1.240369069220239,0.0005018325992512789,-1.969988139007884e-11,-1.984972466904171e-11,-1.969988139007884e-11,-1.984972466904171e-11
0.1128,0.000560694913141345,0.06532725395934523,1.240408030487708,0.0005015692632288191,-1.966981404044628e-11,-1.98346863982868e-11,-1.966981404044628e-11,-1.98346863982868e-11
0.1129,0.0005604450360850434,0.06537291085602982,1.240446937252875,0.0005013060605788443,-1.963977869359624e-11,-1.981966403519028e-11,-1.963977869359624e-11,-1.981966403519028e-11
0.113,0.0005601953031547968,0.06541859485328022,1.240485789537993,0.0005010429910626308,-1.960977534769807e-11,-1.980465757701458e-11,-1.960977534769807e-11,-1.980465757701458e-11
0.1131,0.0005599457140700099,0.06546430596802198,1.240524587365275,0.0005007800544453413,-1.957980400092802e-11,-1.978966702099206e-11,-1.957980400092802e-11,-1.978966702099206e-11
0.1132,0.0005596962684852214,0.06551004444772986,1.240563330756378,0.0005005172472331899,-1.95498646514705e-11,-1.977469236432505e-11,-1.95498646514705e-11,-1.977469236432505e-11
0.1133,0.0005594469661521955,0.06555581020421196,1.240602019733684,0.0005002545706801291,-1.951995729751941e-11,-1.975973360418596e-11,-1.951995729751941e-11,-1.975973360418596e-11
0.1134,0.0005591978068107891,0.06560160319479892,1.240640654319434,0.0004999920253974995,-1.949008193727934e-11,-1.974479073771728e-11,-1.949008193727934e-11,-1.974479073771728e-11
0.1135,0.0005589487901832997,0.06564742344206594,1.240679234535688,0.0004997296110751075,-1.946023856896704e-11,-1.972986376203168e-11,-1.946023856896704e-11,-1.972986376203168e-11
0.1136,0.0005586999159931027,0.06569327096871218,1.240717760404469,0.0004994673274020375,-1.943042719081262e-11,-1.971495267421203e-11,-1.943042719081262e-11,-1.971495267421203e-11
0.1137,0.0005584511839646447,0.06573914579756347,1.240756231947764,0.0004992051740665761,-1.940064780106095e-11,-1.970005747131144e-11,-1.940064780106095e-11,-1.970005747131144e-11
0.1138,0.0005582025938234374,0.06578504795157505,1.240794649187525,0.0004989431507561307,-1.937090039797309e-11,-1.968517815035338e-11,-1.937090039797309e-11,-1.968517815035338e-11
0.1139,0.0005579541452960507,0.06583097745383419,1.24083301214567,0.0004986812571571534,-1.934118497982757e-11,-1.967031470833166e-11,-1.934118497982757e-11,-1.967031470833166e-11
0.114,0.0005577058381101068,0.06587693432756295,1.24087132084408,0.0004984194929550607,-1.931150154492196e-11,-1.965546714221053e-11,-1.931150154492196e-11,-1.965546714221053e-11
0.1141,0.0005574576719942731,0.06592291859612086,1.240909575304603,0.0004981578578341567,-1.928185009157417e-11,-1.964063544892474e-11,-1.928185009157417e-11,-1.964063544892474e-11
0.1142,0.000557209646678256,0.06596893028300767,1.240947775549052,0.0004978963514775534,-1.925223061812396e-11,-1.962581962537952e-11,-1.925223061812396e-11,-1.962581962537952e-11
0.1143,0.0005569617618927948,0.06601496941186591,1.240985921599205,0.000497634973567092,-1.922264312293445e-11,-1.961101966845076e-11,-1.922264312293445e-11,-1.961101966845076e-11
0.1144,0.0005567140173696543,0.06606103600648372,1.241024013476805,0.0004973737237832657,-1.919308760439357e-11,-1.959623557498493e-11,-1.919308760439357e-11,-1.959623557498493e-11
0.1145,0.0005564664128416194,0.06610713009079755,1.241062051203565,0.0004971126018051404,-1.916356406091561e-11,-1.958146734179924e-11,-1.916356406091561e-11,-1.958146734179924e-11
0.1146,0.0005562189480424883,0.06615325168889473,1.24110003480116,0.0004968516073102759,-1.913407249094275e-11,-1.956671496568162e-11,-1.913407249094275e-11,-1.956671496568162e-11
0.1147,0.0005559716227070651,0.06619940082501634,1.241137964291232,0.0004965907399746482,-1.910461289294665e-11,-1.955197844339084e-11,-1.910461289294665e-11,-1.955197844339084e-11
0.1148,0.0005557244365711549,0.06624557752355979,1.241175839695393,0.0004963299994725701,-1.907518526543001e-11,-1.953725777165651e-11,-1.907518526543001e-11,-1.953725777165651e-11
0.1149,0.0005554773893715559,0.06629178180908148,1.241213661035218,0.0004960693854766138,-1.904578960692818e-11,-1.952255294717914e-11,-1.904578960692818e-11,-1.952255294717914e-11
0.115,0.000555230480846054,0.06633801370629971,1.241251428332251,0.0004958088976575317,-1.901642591601085e-11,-1.950786396663023e-11,-1.901642591601085e-11,-1.950786396663023e-11
0.1151,0.0005549837107334159,0.0663842732400971,1.241289141608003,0.0004955485356841776,-1.898709419128363e-11,-1.949319082665231e-11,-1.898709419128363e-11,-1.949319082665231e-11
0.1152,0.0005547370787732056,0.06643056043963232,1.241326800884018,0.0004952882993262518,-1.89577944313898e-11,-1.947853352385897e-11,-1.89577944313898e-11,-1.947853352385897e-11
0.1153,0.0005544905847043545,0.06647687544597089,1.241364406183575,0.0004950281912212987,-1.892852663501196e-11,-1.946389205483493e-11,-1.892852663501196e-11,-1.946389205483493e-11
0.1154,0.0005542442282769702,0.0665232181833576,1.241401957526323,0.0004947682085947111,-1.88992908008738e-11,-1.94492664161361e-11,-1.88992908008738e-11,-1.94492664161361e-11
0.1155,0.0005539980092353882,0.06656958867829155,1.241439454933617,0.0004945083511705137,-1.887008692774186e-11,-1.943465660428964e-11,-1.887008692774186e-11,-1.943465660428964e-11
0.1156,0.0005537519273250644,0.06661598695742853,1.241476898426775,0.0004942486186738374,-1.884091501442729e-11,-1.9420062615794e-11,-1.884091501442729e-11,-1.9420062615794e-11
0.1157,0.0005535059822925747,0.06666241304758101,1.241514288027081,0.0004939890108309183,-1.881177505978767e-11,-1.940548444711898e-11,-1.881177505978767e-11,-1.940548444711898e-11
0.1158,0.0005532601738856159,0.06670886697571819,1.24155162375578,0.0004937295273690986,-1.878266706272883e-11,-1.939092209470577e-11,-1.878266706272883e-11,-1.939092209470577e-11
0.1159,0.0005530145018530045,0.06675534876896598,1.241588905634083,0.000493470168016826,-1.875359102220668e-11,-1.937637555496702e-11,-1.875359102220668e-11,-1.937637555496702e-11
0.116,0.0005527689659446775,0.06680185845460693,1.241626133683162,0.0004932109325036542,-1.87245469372292e-11,-1.936184482428693e-11,-1.87245469372292e-11,-1.936184482428693e-11
0.1161,0.0005525235659116923,0.06684839606008036,1.241663307924157,0.0004929518205602426,-1.869553480685826e-11,-1.934732989902122e-11,-1.869553480685826e-11,-1.934732989902122e-11
0.1162,0.0005522783015062262,0.06689496161298228,1.241700428378168,0.0004926928319183557,-1.866655463021158e-11,-1.933283077549725e-11,-1.866655463021158e-11,-1.933283077549725e-11
0.1163,0.000552033172481577,0.06694155514106538,1.241737495066261,0.0004924339663108644,-1.863760640646469e-11,-1.931834745001406e-11,-1.863760640646469e-11,-1.931834745001406e-11
0.1164,0.0005517881785921631,0.06698817667223907,1.241774508009463,0.0004921752234717451,-1.860869013485296e-11,-1.930387991884242e-11,-1.860869013485296e-11,-1.930387991884242e-11
0.1165,0.0005515433195935223,0.06703482623456944,1.241811467228768,0.0004919166031360796,-1.85798058146736e-11,-1.928942817822488e-11,-1.85798058146736e-11,-1.928942817822488e-11
0.1166,0.0005512985952423138,0.0670815038562793,1.241848372745132,0.0004916581050400561,-1.855095344528771e-11,-1.927499222437582e-11,-1.855095344528771e-11,-1.927499222437582e-11
0.1167,0.0005510540052963157,0.06712820956574816,1.241885224579475,0.000491399728920968,-1.852213302612239e-11,-1.926057205348156e-11,-1.852213302612239e-11,-1.926057205348156e-11
0.1168,0.000550809549514428,0.06717494339151227,1.241922022752682,0.0004911414745172143,-1.849334455667279e-11,-1.924616766170031e-11,-1.849334455667279e-11,-1.924616766170031e-11
