"time","vc.i"
0.0186,-6.246961458508712e-13
0.0187,-6.269690406408949e-13
0.0188,-6.292596586855918e-13
0.0189,-6.31567171085142e-13
0.019,-6.33890784080624e-13
0.0191,-6.362297375968872e-13
0.0192,-6.385833038447371e-13
0.0193,-6.409507859794585e-13
0.0194,-6.433315168135097e-13
0.0195,-6.457248575812805e-13
0.0196,-6.481301967538944e-13
0.0197,-6.505469489021138e-13
0.0198,-6.529745536054599e-13
0.0199,-6.554124744057496e-13
0.02,-6.578601978033011e-13
0.0201,-6.603172322941324e-13
0.0202,-6.627831074465392e-13
0.0203,-6.652573730154974e-13
0.0204,-6.67739598093394e-13
0.0205,-6.702293702956429e-13
0.0206,-6.727262949798054e-13
0.0207,-6.752299944968749e-13
0.0208,-6.777401074734487e-13
0.0209,-6.802562881235493e-13
0.021,-6.827782055889081e-13
0.0211,-6.853055433065697e-13
0.0212,-6.878379984027203e-13
0.0213,-6.90375281111683e-13
0.0214,-6.929171142190633e-13
0.0215,-6.954632325280735e-13
0.0216,-6.980133823480925e-13
0.0217,-7.005673210045627e-13
0.0218,-7.031248163693592e-13
0.0219,-7.056856464108122e-13
0.022,-7.082495987626677e-13
0.0221,-7.108164703105381e-13
0.0222,-7.133860667966349e-13
0.0223,-7.15958202440464e-13
0.0224,-7.185326995756292e-13
0.0225,-7.211093883019212e-13
0.0226,-7.236881061520645e-13
0.0227,-7.262686977725172e-13
0.0228,-7.288510146177471e-13
0.0229,-7.314349146574265e-13
0.023,-7.340202620960122e-13
0.0231,-7.366069271041966e-13
0.0232,-7.391947855617403e-13
0.0233,-7.417837188112143e-13
0.0234,-7.44373613422194e-13
0.0235,-7.46964360967526e-13
0.0236,-7.495558578167195e-13
0.0237,-7.52148004910493e-13
0.0238,-7.547407075394444e-13
0.0239,-7.573338752123812e-13
0.024,-7.599274214446546e-13
0.0241,-7.625212635871545e-13
0.0242,-7.651153226212785e-13
0.0243,-7.677095231048545e-13
0.0244,-7.703037928981696e-13
0.0245,-7.72898063102855e-13
0.0246,-7.754922678818196e-13
0.0247,-7.780863443270033e-13
0.0248,-7.806802323663348e-13
0.0249,-7.832738745721517e-13
0.025,-7.858672161300615e-13
0.0251,-7.88460204647908e-13
0.0252,-7.910527901074072e-13
0.0253,-7.936449247294198e-13
0.0254,-7.96236562877063e-13
0.0255,-7.988276609899454e-13
0.0256,-8.014181774426641e-13
0.0257,-8.040080725190164e-13
0.0258,-8.065973082756522e-13
0.0259,-8.091858485028307e-13
0.026,-8.117736586291708e-13
0.0261,-8.14360705647014e-13
0.0262,-8.169469580670319e-13
0.0263,-8.195323858135837e-13
0.0264,-8.221169602050459e-13
0.0265,-8.247006538554394e-13
0.0266,-8.272834406435082e-13
0.0267,-8.298652956454369e-13
0.0268,-8.324461950774848e-13
0.0269,-8.350261162646673e-13
0.027,-8.376050375635937e-13
0.0271,-8.401829383475152e-13
0.0272,-8.427597989353873e-13
0.0273,-8.453356005678275e-13
0.0274,-8.479103253596274e-13
0.0275,-8.504839562558882e-13
0.0276,-8.53056477010447e-13
0.0277,-8.55627872129138e-13
0.0278,-8.581981268583359e-13
0.0279,-8.607672271339687e-13
0.028,-8.633351595628411e-13
0.0281,-8.659019113892661e-13
0.0282,-8.684674704615811e-13
0.0283,-8.710318252174097e-13
0.0284,-8.735949646419671e-13
0.0285,-8.761568782593195e-13
0.0286,-8.787175560957968e-13
0.0287,-8.812769886655295e-13
0.0288,-8.838351669470916e-13
0.0289,-8.863920823579885e-13
0.029,-8.889477267446706e-13
0.0291,-8.915020923519218e-13
0.0292,-8.940551718162107e-13
0.0293,-8.966069581394778e-13
0.0294,-8.991574446779784e-13
0.0295,-9.017066251259922e-13
0.0296,-9.042544934964263e-13
0.0297,-9.068010441141036e-13
0.0298,-9.093462715933149e-13
0.0299,-9.118901708327668e-13
0.03,-9.14432736996838e-13
0.0301,-9.169739655069945e-13
0.0302,-9.195138520304786e-13
0.0303,-9.220523924655845e-13
0.0304,-9.24589582937197e-13
0.0305,-9.271254197803432e-13
0.0306,-9.296598995363603e-13
0.0307,-9.321930189395177e-13
0.0308,-9.34724774910428e-13
0.0309,-9.372551645511743e-13
0.031,-9.397841851318365e-13
0.0311,-9.42311834084222e-13
0.0312,-9.448381089930815e-13
0.0313,-9.473630075872433e-13
0.0314,-9.498865277289338e-13
0.0315,-9.524086674212287e-13
0.0316,-9.549294248284845e-13
0.0317,-9.574487981923121e-13
0.0318,-9.59966785884989e-13
0.0319,-9.624833864071978e-13
0.032,-9.649985983413662e-13
0.0321,-9.675124203744787e-13
0.0322,-9.700248513311435e-13
0.0323,-9.725358900841169e-13
0.0324,-9.750455356041192e-13
0.0325,-9.775537869694658e-13
0.0326,-9.800606433164769e-13
0.0327,-9.825661038581757e-13
0.0328,-9.850701679003989e-13
0.0329,-9.875728348081564e-13
0.033,-9.900741040053273e-13
0.0331,-9.925739749938654e-13
0.0332,-9.950724473363125e-13
0.0333,-9.975695206404951e-13
0.0334,-1.000065194580357e-12
0.0335,-1.002559468889563e-12
0.0336,-1.005052343336663e-12
0.0337,-1.007543817746009e-12
0.0338,-1.010033891998172e-12
0.0339,-1.012522566002098e-12
0.034,-1.015009839713687e-12
0.0341,-1.017495713140547e-12
0.0342,-1.019980186313633e-12
0.0343,-1.02246325930357e-12
0.0344,-1.024944932227828e-12
0.0345,-1.027425205223283e-12
0.0346,-1.029904078460881e-12
0.0347,-1.032381552151888e-12
0.0348,-1.034857626526589e-12
0.0349,-1.037332301843128e-12
0.035,-1.039805578392943e-12
0.0351,-1.042277456488421e-12
0.0352,-1.044747936463118e-12
0.0353,-1.047217018678512e-12
0.0354,-1.049684703517565e-12
0.0355,-1.052150991379508e-12
0.0356,-1.05461588268699e-12
0.0357,-1.057079377883604e-12
0.0358,-1.059541477425669e-12
0.0359,-1.06200218178918e-12
0.036,-1.064461491469884e-12
0.0361,-1.066919406973629e-12
0.0362,-1.06937592882283e-12
0.0363,-1.071831057558146e-12
0.0364,-1.074284793728353e-12
0.0365,-1.076737137896199e-12
0.0366,-1.079188090641023e-12
0.0367,-1.081637652548779e-12
0.0368,-1.084085824217399e-12
0.0369,-1.086532606259023e-12
0.037,-1.088977999292263e-12
0.0371,-1.091422003945517e-12
0.0372,-1.093864620858787e-12
0.0373,-1.096305850679262e-12
0.0374,-1.098745694061499e-12
0.0375,-1.101184151669729e-12
0.0376,-1.103621224175531e-12
0.0377,-1.106056912256077e-12
0.0378,-1.108491216596616e-12
