"time","l2.v","act_steady","act_steady_n","act_tau","inact_steady","inact_tau_fast","inact_tau_slow","v","vc.v"
128,0.04799999999999964,0.9995676486896131,0.9999982219650746,0.0001689927680238243,5.016100941109615e-06,0.01,0.06,0.04799999999999964,0.04799999999999964
129,0.04899999999999965,0.999628327440969,0.9999985442676576,0.000166068448704081,4.280950467218482e-06,0.01,0.06,0.04899999999999965,0.04899999999999965
130,0.04999999999999965,0.9996804928979918,0.9999988081468484,0.0001632434817378592,3.653541893072691e-06,0.01,0.06,0.04999999999999965,0.04999999999999965
131,0.05099999999999965,0.9997253387745272,0.9999990241929609,0.000160512910088348,3.118084929792998e-06,0.01,0.06,0.05099999999999965,0.05099999999999965
132,0.05199999999999966,0.9997638915901955,0.9999992010766267,0.0001578720976444309,2.661103430853684e-06,0.01,0.06,0.05199999999999966,0.05199999999999966
133,0.05299999999999967,0.9997970340395544,0.9999993458967702,0.0001553167042065896,2.271096251342996e-06,0.01,0.06,0.05299999999999967,0.05299999999999967
134,0.05399999999999966,0.9998255251075495,0.9999994644655065,0.0001528426626913886,1.938247806621498e-06,0.01,0.06,0.05399999999999966,0.05399999999999966
135,0.05499999999999967,0.9998500173809589,0.9999995615413984,0.00015044615834167,1.65418104775943e-06,0.01,0.06,0.05499999999999967,0.05499999999999967
136,0.05599999999999967,0.9998710719442506,0.9999996410204303,0.0001481236097504793,1.411746638122851e-06,0.01,0.06,0.05599999999999967,0.05599999999999967
137,0.05699999999999967,0.9998891711951134,0.9999997060923673,0.0001458716515257127,1.204843026183024e-06,0.01,0.06,0.05699999999999967,0.05699999999999967
138,0.05799999999999967,0.9999047298688535,0.9999997593687699,0.0001436871184396528,1.028262886924949e-06,0.01,0.06,0.05799999999999967,0.05799999999999967
139,0.05899999999999967,0.9999181045210118,0.9999998029878032,0.0001415670309230846,8.775620676611834e-07,0.01,0.06,0.05899999999999967,0.05899999999999967
140,0.05999999999999967,0.9999296016830898,0.9999998387000499,0.0001395085817776758,7.489477402920289e-07,0.01,0.06,0.05999999999999967,0.05999999999999967
140,0.05999999999999967,0.9999296016830898,0.9999998387000499,0.0001395085817776758,7.489477402920289e-07,0.01,0.06,0.05999999999999967,0.05999999999999967
