"time","cell.cal.i_ion","cell.naca.i_ion","cell.cal.i","cell.naca.i"
0.0136,-1.330845073438035e-13,-3.221729331501883e-11,-1.330845073438035e-13,-3.221729331501883e-11
0.0137,-1.354275998665481e-13,-3.211343582298779e-11,-1.354275998665481e-13,-3.211343582298779e-11
0.0138,-1.377815336146447e-13,-3.20104409008207e-11,-1.377815336146447e-13,-3.20104409008207e-11
0.0139,-1.401458524272308e-13,-3.190829920354184e-11,-1.401458524272308e-13,-3.190829920354184e-11
0.014,-1.425201007375124e-13,-3.180700149909945e-11,-1.425201007375124e-13,-3.180700149909945e-11
0.0141,-1.449038187427274e-13,-3.170653833092787e-11,-1.449038187427274e-13,-3.170653833092787e-11
0.0142,-1.472965465165198e-13,-3.160690027498918e-11,-1.472965465165198e-13,-3.160690027498918e-11
0.0143,-1.496978351620363e-13,-3.150807867294551e-11,-1.496978351620363e-13,-3.150807867294551e-11
0.0144,-1.521072324801425e-13,-3.141006466050998e-11,-1.521072324801425e-13,-3.141006466050998e-11
0.0145,-1.545242881879157e-13,-3.131284950107318e-11,-1.545242881879157e-13,-3.131284950107318e-11
0.0146,-1.569485542252533e-13,-3.121642459186766e-11,-1.569485542252533e-13,-3.121642459186766e-11
0.0147,-1.593795850606912e-13,-3.112078147016805e-11,-1.593795850606912e-13,-3.112078147016805e-11
0.0148,-1.618169340838873e-13,-3.102591108350441e-11,-1.618169340838873e-13,-3.102591108350441e-11
0.0149,-1.642601462102764e-13,-3.093180233029733e-11,-1.642601462102764e-13,-3.093180233029733e-11
0.015,-1.667087922132555e-13,-3.083844847340484e-11,-1.667087922132555e-13,-3.083844847340484e-11
0.0151,-1.691624364571328e-13,-3.07458410283894e-11,-1.691624364571328e-13,-3.07458410283894e-11
0.0152,-1.716206469236509e-13,-3.065397159150941e-11,-1.716206469236509e-13,-3.065397159150941e-11
0.0153,-1.740829954937412e-13,-3.056283184067146e-11,-1.740829954937412e-13,-3.056283184067146e-11
0.0154,-1.765490582293496e-13,-3.047241353641098e-11,-1.765490582293496e-13,-3.047241353641098e-11
0.0155,-1.790184150558203e-13,-3.03827085386087e-11,-1.790184150558203e-13,-3.03827085386087e-11
0.0156,-1.814906147570766e-13,-3.029370973215211e-11,-1.814906147570766e-13,-3.029370973215211e-11
0.0157,-1.839652630522551e-13,-3.020540872792857e-11,-1.839652630522551e-13,-3.020540872792857e-11
0.0158,-1.864419495844384e-13,-3.011779778396396e-11,-1.864419495844384e-13,-3.011779778396396e-11
0.0159,-1.889202687329985e-13,-3.003086926879818e-11,-1.889202687329985e-13,-3.003086926879818e-11
0.016,-1.913998198449665e-13,-2.994461566401112e-11,-1.913998198449665e-13,-2.994461566401112e-11
0.0161,-1.938802074667513e-13,-2.985902956677773e-11,-1.938802074667513e-13,-2.985902956677773e-11
0.0162,-1.963610415762393e-13,-2.97741036924517e-11,-1.963610415762393e-13,-2.97741036924517e-11
0.0163,-1.9884191081189e-13,-2.968983028137711e-11,-1.9884191081189e-13,-2.968983028137711e-11
0.0164,-2.013224397372214e-13,-2.960620235892184e-11,-2.013224397372214e-13,-2.960620235892184e-11
0.0165,-2.038022553287402e-13,-2.952321299458575e-11,-2.038022553287402e-13,-2.952321299458575e-11
0.0166,-2.062809854011332e-13,-2.94408552645003e-11,-2.062809854011332e-13,-2.94408552645003e-11
0.0167,-2.087582635284388e-13,-2.93591223574533e-11,-2.087582635284388e-13,-2.93591223574533e-11
0.0168,-2.112337292308946e-13,-2.927800757652573e-11,-2.112337292308946e-13,-2.927800757652573e-11
0.0169,-2.137070281623844e-13,-2.91975043407541e-11,-2.137070281623844e-13,-2.91975043407541e-11
0.017,-2.16177793294661e-13,-2.911760493237226e-11,-2.16177793294661e-13,-2.911760493237226e-11
0.0171,-2.186456743911399e-13,-2.903830243082376e-11,-2.186456743911399e-13,-2.903830243082376e-11
0.0172,-2.211103407613311e-13,-2.895959088450365e-11,-2.211103407613311e-13,-2.895959088450365e-11
0.0173,-2.235714583831935e-13,-2.888146378975888e-11,-2.235714583831935e-13,-2.888146378975888e-11
0.0174,-2.260286994750576e-13,-2.880391471175783e-11,-2.260286994750576e-13,-2.880391471175783e-11
0.0175,-2.284817426375255e-13,-2.872693728297332e-11,-2.284817426375255e-13,-2.872693728297332e-11
0.0176,-2.309302729960494e-13,-2.865052520168344e-11,-2.309302729960494e-13,-2.865052520168344e-11
0.0177,-2.333739711251206e-13,-2.857467250435226e-11,-2.333739711251206e-13,-2.857467250435226e-11
0.0178,-2.358125173147879e-13,-2.849937346356978e-11,-2.358125173147879e-13,-2.849937346356978e-11
0.0179,-2.382456251466673e-13,-2.842462177051517e-11,-2.382456251466673e-13,-2.842462177051517e-11
0.018,-2.406730015976048e-13,-2.835041151095427e-11,-2.406730015976048e-13,-2.835041151095427e-11
0.0181,-2.430943600962996e-13,-2.827673684868867e-11,-2.430943600962996e-13,-2.827673684868867e-11
0.0182,-2.455094206225786e-13,-2.820359202532485e-11,-2.455094206225786e-13,-2.820359202532485e-11
0.0183,-2.479179098073657e-13,-2.81309713600605e-11,-2.479179098073657e-13,-2.81309713600605e-11
0.0184,-2.5031955621874e-13,-2.80588693104723e-11,-2.5031955621874e-13,-2.80588693104723e-11
0.0185,-2.527140737075526e-13,-2.798728068446033e-11,-2.527140737075526e-13,-2.798728068446033e-11
0.0186,-2.551012207181907e-13,-2.791619989014919e-11,-2.551012207181907e-13,-2.791619989014919e-11
0.0187,-2.574807460940456e-13,-2.784562162357135e-11,-2.574807460940456e-13,-2.784562162357135e-11
0.0188,-2.598524050687067e-13,-2.777554066724113e-11,-2.598524050687067e-13,-2.777554066724113e-11
0.0189,-2.622159593231473e-13,-2.770595189062662e-11,-2.622159593231473e-13,-2.770595189062662e-11
0.019,-2.64571177043541e-13,-2.763685025063754e-11,-2.64571177043541e-13,-2.763685025063754e-11
0.0191,-2.669178329797106e-13,-2.756823079212937e-11,-2.669178329797106e-13,-2.756823079212937e-11
0.0192,-2.692556810068304e-13,-2.750008689065293e-11,-2.692556810068304e-13,-2.750008689065293e-11
0.0193,-2.715845197571219e-13,-2.743241444477116e-11,-2.715845197571219e-13,-2.743241444477116e-11
0.0194,-2.739041400474041e-13,-2.736520851193848e-11,-2.739041400474041e-13,-2.736520851193848e-11
0.0195,-2.762143382738288e-13,-2.72984641614721e-11,-2.762143382738288e-13,-2.72984641614721e-11
0.0196,-2.785149169966934e-13,-2.723217650858365e-11,-2.785149169966934e-13,-2.723217650858365e-11
0.0197,-2.80805684961627e-13,-2.716634071235559e-11,-2.80805684961627e-13,-2.716634071235559e-11
0.0198,-2.830864571213053e-13,-2.710095197372763e-11,-2.830864571213053e-13,-2.710095197372763e-11
0.0199,-2.853570384119364e-13,-2.703600625054e-11,-2.853570384119364e-13,-2.703600625054e-11
0.02,-2.876172564025631e-13,-2.697149881508256e-11,-2.876172564025631e-13,-2.697149881508256e-11
0.0201,-2.898669450671115e-13,-2.690742496981704e-11,-2.898669450671115e-13,-2.690742496981704e-11
0.0202,-2.92105940379074e-13,-2.684378024078662e-11,-2.92105940379074e-13,-2.684378024078662e-11
0.0203,-2.943340840829515e-13,-2.678056021020823e-11,-2.943340840829515e-13,-2.678056021020823e-11
0.0204,-2.965512236862728e-13,-2.67177605159403e-11,-2.965512236862728e-13,-2.67177605159403e-11
0.0205,-2.987572124520416e-13,-2.665537685096105e-11,-2.987572124520416e-13,-2.665537685096105e-11
0.0206,-3.009519008907445e-13,-2.659340531830065e-11,-3.009519008907445e-13,-2.659340531830065e-11
0.0207,-3.031351482424231e-13,-2.653184194992171e-11,-3.031351482424231e-13,-2.653184194992171e-11
0.0208,-3.053068275092085e-13,-2.647068249574012e-11,-3.053068275092085e-13,-2.647068249574012e-11
0.0209,-3.074668119145464e-13,-2.640992298906961e-11,-3.074668119145464e-13,-2.640992298906961e-11
0.021,-3.096149799894561e-13,-2.634955953319534e-11,-3.096149799894561e-13,-2.634955953319534e-11
0.0211,-3.117512155424077e-13,-2.628958830194168e-11,-3.117512155424077e-13,-2.628958830194168e-11
0.0212,-3.138754076295307e-13,-2.623000554025109e-11,-3.138754076295307e-13,-2.623000554025109e-11
0.0213,-3.159874467622164e-13,-2.617080705631121e-11,-3.159874467622164e-13,-2.617080705631121e-11
0.0214,-3.180872245147473e-13,-2.611198817319952e-11,-3.180872245147473e-13,-2.611198817319952e-11
0.0215,-3.201746489284743e-13,-2.605354581478852e-11,-3.201746489284743e-13,-2.605354581478852e-11
0.0216,-3.222496275649937e-13,-2.599547622025957e-11,-3.222496275649937e-13,-2.599547622025957e-11
0.0217,-3.243120727795222e-13,-2.593777566115077e-11,-3.243120727795222e-13,-2.593777566115077e-11
0.0218,-3.263619016741368e-13,-2.588044043946203e-11,-3.263619016741368e-13,-2.588044043946203e-11
