"time","ca.cyto.c.c","ca.jsr.c.c","ca.nsr.c.c","ca.sub.c.c","cal.i","naca.i"
0.0615,0.0007200271838734834,0.04532749393171399,1.212578199416068,0.0006684043262537778,-3.910339086059645e-11,-2.955169542989881e-11
0.0616,0.0007196134617675577,0.0453588373262177,1.212649642156364,0.0006679645255442141,-3.905793380254946e-11,-2.952896690086301e-11
0.0617,0.0007192004341932394,0.04539022357346611,1.212721006778412,0.0006675255448640178,-3.901250149858523e-11,-2.950625074886823e-11
0.0618,0.0007187880982191606,0.04542165250411843,1.212792293377922,0.000667087380368608,-3.896709398529424e-11,-2.948354699220968e-11
0.0619,0.0007183764509295595,0.04545312395007853,1.212863502050233,0.000666650028235209,-3.892171129917081e-11,-2.946085564913453e-11
0.062,0.0007179654894242145,0.04548463774448905,1.212934632890321,0.0006662134846627111,-3.887635347661322e-11,-2.943817673784189e-11
0.0621,0.0007175552108183668,0.04551619372172478,1.213005685992795,0.0006657777458715292,-3.883102055392366e-11,-2.941551027648284e-11
0.0622,0.0007171456122424915,0.04554779171737163,1.213076661451903,0.0006653428081033705,-3.878571256730826e-11,-2.939285628316045e-11
0.0623,0.0007167366908423125,0.04557943156822861,1.213147559361533,0.0006649086676211613,-3.874042955287708e-11,-2.937021477592973e-11
0.0624,0.0007163284437787793,0.04561111311230742,1.213218379815211,0.0006644753207090438,-3.869517154664413e-11,-2.934758577279766e-11
0.0625,0.000715920868227805,0.04564283618880623,1.213289122906109,0.0006640427636719705,-3.864993858452734e-11,-2.932496929172321e-11
0.0626,0.0007155139613802623,0.04567460063811101,1.213359788727042,0.0006636109928357019,-3.860473070234866e-11,-2.930236535061733e-11
0.06270000000000001,0.0007151077204419185,0.04570640630178982,1.213430377370469,0.0006631800045467532,-3.8559547935834e-11,-2.927977396734297e-11
0.06279999999999999,0.0007147021426333629,0.04573825302258658,1.213500888928498,0.0006627497951723218,-3.851439032061322e-11,-2.925719515971503e-11
0.0629,0.0007142972251897915,0.0457701406444013,1.213571323492887,0.000662320361099803,-3.84692578922202e-11,-2.923462894550046e-11
0.063,0.0007138929653610184,0.04580206901229176,1.213641681155043,0.0006618916987369464,-3.84241506860928e-11,-2.921207534241815e-11
0.0631,0.0007134893604114555,0.04583403797247138,1.213711962006026,0.0006614638045117342,-3.837906873757291e-11,-2.918953436813903e-11
0.06320000000000001,0.0007130864076198637,0.04586604737228745,1.213782166136549,0.0006610366748721005,-3.833401208190647e-11,-2.916700604028607e-11
0.0633,0.0007126841042793445,0.04589809706022051,1.213852293636982,0.0006606103062858728,-3.828898075424339e-11,-2.914449037643421e-11
0.0634,0.0007122824476972809,0.04593018688587943,1.213922344597352,0.000660184695240662,-3.824397478963768e-11,-2.912198739411042e-11
0.0635,0.0007118814351952707,0.04596231669999631,1.213992319107343,0.0006597598382437462,-3.819899422304736e-11,-2.90994971107937e-11
0.0636,0.0007114810641089171,0.04599448635440574,1.214062217256299,0.0006593357318218434,-3.815403908933459e-11,-2.907701954391511e-11
0.06370000000000001,0.0007110813317878427,0.04602669570204793,1.214132039133229,0.0006589123725210583,-3.810910942326555e-11,-2.905455471085773e-11
0.0638,0.0007106822355956625,0.04605894459696697,1.214201784826803,0.0006584897569069909,-3.806420525951056e-11,-2.903210262895669e-11
0.0639,0.0007102837729097578,0.04609123289428929,1.214271454425354,0.0006580678815641918,-3.801932663264401e-11,-2.900966331549917e-11
0.064,0.0007098859411212624,0.04612356045022329,1.214341048016885,0.0006576467430962472,-3.797447357714441e-11,-2.898723678772441e-11
0.0641,0.0007094887376350054,0.0461559271220543,1.214410565689066,0.0006572263381257042,-3.792964612739446e-11,-2.896482306282372e-11
0.06419999999999999,0.000709092159869451,0.04618833276813893,1.214480007529235,0.0006568066632939759,-3.788484431768096e-11,-2.89424221579405e-11
0.0643,0.0007086962052564956,0.04622077724788816,1.214549373624402,0.00065638771526102,-3.78400681821949e-11,-2.892003409017022e-11
0.0644,0.0007083008712414826,0.04625326042176792,1.21461866406125,0.00065596949070538,-3.779531775503144e-11,-2.889765887656043e-11
0.0645,0.0007079061552831781,0.04628578215129826,1.214687878926135,0.0006555519863240275,-3.775059307018992e-11,-2.887529653411077e-11
0.0646,0.0007075120548535541,0.04631834229903279,1.214757018305087,0.0006551351988322292,-3.770589416157394e-11,-2.885294707977302e-11
0.06469999999999999,0.0007071185674377742,0.04635094072855808,1.214826082283818,0.0006547191249634274,-3.766122106299126e-11,-2.883061053045106e-11
0.0648,0.0007067256905341384,0.04638357730448966,1.214895070947713,0.0006543037614691868,-3.761657380815393e-11,-2.880828690300085e-11
0.0649,0.0007063334216540263,0.04641625189246753,1.21496398438184,0.0006538891051191434,-3.757195243067824e-11,-2.878597621423054e-11
0.065,0.0007059417583217064,0.04644896435913717,1.215032822670947,0.0006534751527006114,-3.752735696408475e-11,-2.876367848090037e-11
0.06510000000000001,0.0007055506980743477,0.04648171457215251,1.215101585899466,0.0006530619010186909,-3.748278744179833e-11,-2.874139371972274e-11
0.06519999999999999,0.0007051602384619938,0.04651450240017284,1.215170274151513,0.0006526493468963088,-3.743824389714816e-11,-2.871912194736222e-11
0.0653,0.0007047703770473624,0.04654732771284599,1.215238887510888,0.000652237487173766,-3.739372636336774e-11,-2.869686318043554e-11
0.0654,0.0007043811114058261,0.04658019038080644,1.215307426061081,0.0006518263187087855,-3.73492348735949e-11,-2.867461743551157e-11
0.0655,0.0007039924391253635,0.04661309027567102,1.215375889885269,0.0006514158383764076,-3.730476946087186e-11,-2.865238472911139e-11
0.06560000000000001,0.000703604357806506,0.04664602727003441,1.215444279066319,0.0006510060430688559,-3.72603301581452e-11,-2.863016507770827e-11
0.06569999999999999,0.0007032168650621506,0.04667900123745275,1.21551259368679,0.0006505969296954377,-3.721591699826594e-11,-2.860795849772767e-11
0.0658,0.0007028299585175745,0.04671201205244497,1.215580833828933,0.0006501884951824211,-3.717153001398947e-11,-2.858576500554727e-11
0.0659,0.0007024436358104072,0.04674505959049248,1.215648999574695,0.0006497807364730246,-3.712716923797567e-11,-2.856358461749697e-11
0.066,0.000702057894590445,0.04677814372801993,1.215717091005717,0.0006493736505271511,-3.708283470278885e-11,-2.854141734985887e-11
0.06610000000000001,0.0007016727325196278,0.04681126434239464,1.215785108203338,0.0006489672343213498,-3.703852644089778e-11,-2.851926321886735e-11
0.06619999999999999,0.0007012881472719929,0.04684442131192283,1.215853051248595,0.0006485614848487954,-3.699424448467583e-11,-2.849712224070903e-11
0.0663,0.000700904136533623,0.04687761451584507,1.215920920222224,0.0006481563991192803,-3.694998886640078e-11,-2.847499443152278e-11
