"time","vc.v_stim","vc.i","vc.is_end","vc.is_peak","vc.is_tail","vc.v_pulse","vc.vs_end","vc.vs_tail","vc.v","vc.vs_peak"
1.06,-0.04,3.074972028004858e-12,0,0,0,-0.04,0,0,-0.04,0
1.07,-0.04,3.050789844213818e-12,0,0,0,-0.04,0,0,-0.04,0
1.08,-0.04,3.027288592522066e-12,0,0,0,-0.04,0,0,-0.04,0
1.09,-0.04,3.004441863493272e-12,0,0,0,-0.04,0,0,-0.04,0
1.1,-0.04,2.98222445244158e-12,0,0,0,-0.04,0,0,-0.04,0
1.11,-0.04,2.96061230123075e-12,0,0,0,-0.04,0,0,-0.04,0
1.12,-0.04,2.939582442897756e-12,0,0,0,-0.04,0,0,-0.04,0
1.13,-0.04,2.919112948997599e-12,0,0,0,-0.04,0,0,-0.04,0
1.14,-0.04,2.899182879572605e-12,0,0,0,-0.04,0,0,-0.04,0
1.15,-0.04,2.879772235552751e-12,0,0,0,-0.04,0,0,-0.04,0
1.16,-0.04,2.860861913489488e-12,0,0,0,-0.04,0,0,-0.04,0
1.17,-0.04,2.842433662542319e-12,0,0,0,-0.04,0,0,-0.04,0
1.18,-0.04,2.824470043556864e-12,0,0,0,-0.04,0,0,-0.04,0
1.19,-0.04,2.80695439014556e-12,0,0,0,-0.04,0,0,-0.04,0
1.2,-0.04,2.789870771701867e-12,0,0,0,-0.04,0,0,-0.04,0
1.21,-0.04,2.773203958213702e-12,0,0,0,-0.04,0,0,-0.04,0
1.22,-0.04,2.756939386795764e-12,0,0,0,-0.04,0,0,-0.04,0
1.23,-0.04,2.741063129881314e-12,0,0,0,-0.04,0,0,-0.04,0
1.24,-0.04,2.725561864962015e-12,0,0,0,-0.04,0,0,-0.04,0
1.25,-0.04,2.710422845803119e-12,0,0,0,-0.04,0,0,-0.04,0
1.26,-0.04,2.69563387508283e-12,0,0,0,-0.04,0,0,-0.04,0
1.27,-0.04,2.681183278363922e-12,0,0,0,-0.04,0,0,-0.04,0
1.28,-0.04,2.667059879331657e-12,0,0,0,-0.04,0,0,-0.04,0
1.29,-0.04,2.653252976253888e-12,0,0,0,-0.04,0,0,-0.04,0
1.3,-0.04,2.639752319587954e-12,0,0,0,-0.04,0,0,-0.04,0
1.31,-0.04,2.626548090674478e-12,0,0,0,-0.04,0,0,-0.04,0
1.32,-0.04,2.613630881479921e-12,0,0,0,-0.04,0,0,-0.04,0
1.33,-0.04,2.600991675326541e-12,0,0,0,-0.04,0,0,-0.04,0
1.34,-0.04,2.588621828555285e-12,0,0,0,-0.04,0,0,-0.04,0
1.35,-0.04,2.576513053088545e-12,0,0,0,-0.04,0,0,-0.04,0
1.36,-0.04,2.564657399843336e-12,0,0,0,-0.04,0,0,-0.04,0
1.37,-0.04,2.553047242945238e-12,0,0,0,-0.04,0,0,-0.04,0
1.38,-0.04,2.541675264714424e-12,0,0,0,-0.04,0,0,-0.04,0
1.39,-0.04,2.530534441384297e-12,0,0,0,-0.04,0,0,-0.04,0
1.4,-0.04,2.519618029507529e-12,0,0,0,-0.04,0,0,-0.04,0
1.41,-0.04,2.508919553024431e-12,0,0,0,-0.04,0,0,-0.04,0
1.42,-0.04,2.498432790962713e-12,0,0,0,-0.04,0,0,-0.04,0
1.43,-0.04,2.488151765727262e-12,0,0,0,-0.04,0,0,-0.04,0
1.44,-0.04,2.478070731958158e-12,0,0,0,-0.04,0,0,-0.04,0
1.45,-0.04,2.468184165932924e-12,0,0,0,-0.04,0,0,-0.04,0
1.46,-0.04,2.458486755475323e-12,0,0,0,-0.04,0,0,-0.04,0
1.47,-0.04,2.448973390351546e-12,0,0,0,-0.04,0,0,-0.04,0
1.48,-0.04,2.439639153135782e-12,0,0,0,-0.04,0,0,-0.04,0
1.49,-0.04,2.430479310510429e-12,0,0,0,-0.04,0,0,-0.04,0
1.5,-0.04,2.421489304984882e-12,0,0,0,-0.04,0,0,-0.04,0
1.51,-0.04,2.412664747018628e-12,0,0,0,-0.04,0,0,-0.04,0
1.52,-0.04,2.404001407517556e-12,0,0,0,-0.04,0,0,-0.04,0
1.53,-0.04,2.39549521069022e-12,0,0,0,-0.04,0,0,-0.04,0
