"time","ca_jsr.c.c","ca_sub.c.c"
0.00084,0.05152388773262043,0.04515710261770461
0.0008500000000000001,0.05121451013267312,0.04519422792899488
0.0008600000000000001,0.05092196963285812,0.04522933278830756
0.0008700000000000001,0.05064534995151569,0.04526252714943972
0.0008799999999999999,0.05038378466647557,0.04529391498304983
0.0008899999999999999,0.05013645450395683,0.04532359460198974
0.0009,0.0499025847728388,0.04535165896919216
0.00091,0.04968144293881727,0.04537819598877196
0.00092,0.04947233633079423,0.04540328878125929
0.0009299999999999999,0.04927460997168143,0.04542701594390326
0.00094,0.04908764452748534,0.0454494517967817
0.00095,0.04891085436788226,0.04547066661553211
0.00096,0.04874368573215451,0.04549072685143937
0.0009700000000000001,0.0485856149951131,0.04550969533952493
0.00098,0.04843614702730305,0.04552763149532232
0.00099,0.04829481364430047,0.04554459150096128
0.001,0.04816117214052293,0.04556062848111074
0.00101,0.04803480390277744,0.04557579266935288
0.00102,0.04791531309920049,0.04559013156551044
0.00103,0.04780232543953657,0.04560369008441321
0.00104,0.0476954870029267,0.04561651069656349
0.00105,0.04759446312944992,0.04562863356115101
0.00106,0.04749893737191669,0.04564009665183781
0.00107,0.04740861050479209,0.0456509358756874
0.00108,0.04732319958702944,0.04566118518562473
0.00109,0.04724243707581163,0.04567087668678722
0.0011,0.04716606998862431,0.04568004073707608
0.00111,0.04709385911088972,0.04568870604224005
0.00112,0.04702557824669044,0.04569689974578871
0.00113,0.04696101351028325,0.04570464751401078
0.00114,0.04689996265618752,0.04571197361636346
0.00115,0.046842234445711,0.04571890100148938
0.00116,0.04678764804792082,0.0457254513691001
0.00117,0.04673603247326053,0.04573164523794197
0.00118,0.04668722603797788,0.04573750201006493
0.00119,0.04664107585765211,0.04574304003159909
0.0012,0.04659743736834065,0.04574827665021726
0.00121,0.04655617387376737,0.04575322826947224
0.00122,0.04651715611713027,0.04575791040017997
0.00123,0.04648026187623167,0.04576233770900392
0.00124,0.04644537558064624,0.04576652406439485
0.00125,0.04641238794971258,0.04577048258003189
0.00126,0.04638119565021531,0.04577422565590064
0.00127,0.04635170097272028,0.04577776501713299
0.00128,0.04632381152551707,0.04578111175073396
0.00129,0.04629743994519428,0.04578427634031274
0.0013,0.04627250362299667,0.04578726869891975
0.00131,0.04624892444606612,0.04579009820009781
0.00132,0.04622662855274798,0.0457927737072453
0.00133,0.04620554610123176,0.0457953036013793
0.00134,0.0461856110507816,0.04579769580738802
0.00135,0.04616676095486597,0.04579995781885503
0.00136,0.04614893676554361,0.04580209672153319
0.00137,0.04613208264864326,0.04580411921552292
0.00138,0.04611614580863556,0.0458060316362876
0.00139,0.04610107632253186,0.04580783997458579
0.0014,0.04608682698578465,0.04580954989496305
0.00141,0.04607335316211979,0.04581116675377219
0.00142,0.04606061264473603,0.04581269561582928
0.00143,0.04604856552379006,0.0458141412703154
0.00144,0.04603717406110509,0.0458155082458117
0.00145,0.04602640257323946,0.04581680082433109
0.00146,0.04601621731901371,0.04581802305481502
0.00147,0.0460065863925388,0.04581917876597011
0.00148,0.04599747962421959,0.04582027157814771
0.00149,0.04598886848782999,0.04582130491449488
0.0015,0.04598072600931202,0.04582228201189852
0.00151,0.0459730266810063,0.04582320593127771
0.00152,0.04596574638456922,0.0458240795668336
0.00153,0.04595886231601035,0.04582490565504501
0.00154,0.04595235291149762,0.04582568678357174
0.00155,0.04594619777777096,0.04582642539960494
0.00156,0.04594037763310554,0.04582712381695156
0.00157,0.04593487424726803,0.04582778422323953
0.00158,0.04592967038158509,0.04582840868710966
0.00159,0.0459247497341359,0.04582899916479238
0.0016,0.04592009689050171,0.04582955750601791
0.00161,0.0459156972758152,0.04583008545977028
0.00162,0.04591153710840042,0.0458305846798506
0.00163,0.04590760335635376,0.04583105673008725
0.00164,0.04590388369702185,0.04583150308919862
0.00165,0.0459003664785367,0.04583192515540885
0.00166,0.0458970406831936,0.04583232425084246
0.00167,0.04589389589287932,0.04583270162567302
0.00168,0.04589092225644058,0.04583305846203891
0.00169,0.04588811045890497,0.04583339587773679
0.0017,0.04588545169226793,0.04583371492972718
0.00171,0.04588293762788706,0.04583401661744717
0.00172,0.04588056039042099,0.0458343018859377
0.00173,0.04587831253311118,0.04583457162880976
0.00174,0.04587618701449919,0.04583482669103837
0.00175,0.04587417717635205,0.04583506787161146
0.00176,0.04587227672280653,0.0458352959260326
0.00177,0.0458704797006651,0.04583551156868548
0.00178,0.04586878048071365,0.0458357154750758
0.00179,0.04586717374010652,0.04583590828394499
0.0018,0.045865654445693,0.04583609059927116
0.00181,0.04586421783824898,0.04583626299216118
0.00182,0.04586285941757599,0.04583642600263885
0.00183,0.04586157492839503,0.04583658014133765
0.00184,0.04586036034701107,0.04583672589110098
0.00185,0.04585921186872052,0.04583686370849323
0.00186,0.04585812589588884,0.04583699402523055
0.00187,0.04585709902668322,0.04583711724953289
0.00188,0.04585612804441967,0.04583723376740231
0.00189,0.04585520990746982,0.04583734394383421
0.0019,0.04585434173974875,0.04583744812395876
0.00191,0.04585352082170095,0.04583754663412262
0.00192,0.04585274458178129,0.04583763978291122
0.00193,0.04585201058840793,0.04583772786211435
0.00194,0.04585131654232587,0.04583781114764262
0.00195,0.04585066026941973,0.04583788990038987
0.00196,0.04585003971389934,0.04583796436705091
0.00197,0.04584945293185981,0.04583803478089431
0.00198,0.04584889808519632,0.04583810136249268
0.00199,0.04584837343583899,0.04583816432041436
0.002,0.04584787734031039,0.04583822385187666
0.002,0.04584787734031039,0.04583822385187666
