"time","l2.v","act_steady","act_tau","inact_steady","inact_tau_fast","inact_tau_slow","v","vc.v"
74,-0.04599999999999996,0.03702134581567636,0.001134844552214847,0.8801091356436452,0.06315927499013381,2.043118897215535,-0.04599999999999996,-0.04599999999999996
75,-0.04499999999999996,0.03925761083441211,0.001197380298940988,0.8617695128168051,0.06111616288780183,1.897315856468881,-0.04499999999999996,-0.04499999999999996
76,-0.04399999999999996,0.0416231182273341,0.00126567072493414,0.8411308951190839,0.05915488971332147,1.75581669948509,-0.04399999999999996,-0.04399999999999996
77,-0.04299999999999995,0.04412461533894568,0.001339707442606698,0.8180613771484019,0.05727224254469484,1.619367851405508,-0.04299999999999995,-0.04299999999999995
78,-0.04199999999999994,0.04676911279634138,0.001419268306154299,0.7924684439342549,0.05546512941581355,1.488597661298034,-0.04199999999999994,-0.04199999999999994
79,-0.04099999999999993,0.04956388347237974,0.001503850790021104,0.7643126128217451,0.05373057517719532,1.364016514767442,-0.04099999999999993,-0.04099999999999993
80,-0.03999999999999993,0.05251645968532619,0.001592602494802987,0.7336208936260242,0.05206571746446102,1.246019187440753,-0.03999999999999993,-0.03999999999999993
81,-0.03899999999999992,0.05563462840194595,0.001684257493953778,0.7004985847713837,0.0504678027747253,1.134889193038552,-0.03899999999999992,-0.03899999999999992
82,-0.03799999999999992,0.05892642419568982,0.001777091553454469,0.6651376611250788,0.04893418265073959,1.030804848246277,-0.03799999999999992,-0.03799999999999992
83,-0.03699999999999992,0.06240011969722759,0.00186891300014523,0.6278199822479286,0.04746230997232689,0.933846756358519,-0.03699999999999992,-0.03699999999999992
84,-0.03599999999999993,0.06606421326163098,0.001957107358479975,0.588913854677606,0.04604973535438175,0.8440064023476289,-0.03599999999999993,-0.03599999999999993
85,-0.03499999999999993,0.06992741356555977,0.002038750556484119,0.5488631556012334,0.04469410365047322,0.7611955528863404,-0.03499999999999993,-0.03499999999999993
86,-0.03399999999999993,0.07399862083950975,0.002110795714454212,0.5081692076175967,0.04339315056087916,0.6852561648985362,-0.03399999999999993,-0.03399999999999993
87,-0.03299999999999993,0.07828690443527894,0.002170322351622998,0.4673667164959691,0.04214469934369944,0.6159705241460727,-0.03299999999999993,-0.03299999999999993
88,-0.03199999999999992,0.08280147642811585,0.002214817535373903,0.4269960990746589,0.04094665762753508,0.553071359742353,-0.03199999999999992,-0.03199999999999992
89,-0.03099999999999991,0.08755166095743475,0.002242442508885363,0.3875751822027936,0.03979701432408368,0.4962517097869846,-0.03099999999999991,-0.03099999999999991
90,-0.02999999999999991,0.09254685902048726,0.002252233128292777,0.3495733701452666,0.03869383663888305,0.4451743459974772,-0.02999999999999991,-0.02999999999999991
91,-0.0289999999999999,0.09779650845099586,0.002244192579661596,0.3133909249679366,0.0376352671783353,0.3994805997810347,-0.0289999999999999,-0.0289999999999999
92,-0.02799999999999989,0.1033100388405501,0.002219258631467124,0.27934510575564,0.03661952115106014,0.3587984672551379,-0.02799999999999989,-0.02799999999999989
93,-0.02699999999999989,0.1090968211956136,0.002179157041339629,0.2476638011390684,0.03564488366155695,0.3227499050530759,-0.02699999999999989,-0.02699999999999989
94,-0.02599999999999988,0.1151661121683385,0.002126177052035517,0.2184862255249036,0.03470970709410089,0.2909572612849606,-0.02599999999999988,-0.02599999999999988
95,-0.02499999999999987,0.1215269927560185,0.002062916392177807,0.1918694387861062,0.0338124085847543,0.2630488159134615,-0.02499999999999987,-0.02499999999999987
96,-0.02399999999999987,0.1281883014327782,0.001992040269550289,0.1677989963832671,0.03295146757934354,0.2386634314043028,-0.02399999999999987,-0.02399999999999987
97,-0.02299999999999986,0.1351585617586858,0.001916085676589216,0.1462019403809643,0.03212542347522895,0.2174543373907946,-0.02299999999999986,-0.02299999999999986
98,-0.02199999999999986,0.1424459046062918,0.001837325583121954,0.1269605234397866,0.03133287334468331,0.1990920920132544,-0.02199999999999986,-0.02199999999999986
99,-0.02099999999999985,0.1500579852527459,0.001757692983866247,0.1099254056317144,0.03057246973768814,0.1832667775012213,-0.02099999999999985,-0.02099999999999985
100,-0.01999999999999985,0.1580018957067915,0.001678755263728842,0.09492746974472532,0.02984291856196044,0.1696894985579722,-0.01999999999999985,-0.01999999999999985
101,-0.01899999999999986,0.166284072773289,0.001601725229160105,0.08178778323547704,0.02914297703803061,0.1580932594108261,-0.01899999999999986,-0.01899999999999986
102,-0.01799999999999987,0.174910202502065,0.001527495115383253,0.07032554669951324,0.02847145172720641,0.1482332993352446,-0.01799999999999987,-0.01799999999999987
103,-0.01699999999999987,0.1838851218208166,0.001456682153155883,0.0603640922415558,0.02782719663027751,0.1398869674455049,-0.01699999999999987,-0.01699999999999987
104,-0.01599999999999988,0.1932127183107559,0.001389677377651866,0.05173513402668531,0.02720911135483844,0.1328532160137935,-0.01599999999999988,-0.01599999999999988
105,-0.01499999999999989,0.2028958292451959,0.001326692336187517,0.044281542582282,0.02661613934913559,0.1269517879963413,-0.01499999999999989,-0.01499999999999989
106,-0.01399999999999989,0.2129361411711082,0.001267800748831305,0.03785893296196813,0.0260472662003746,0.1220221692707849,-0.01399999999999989,-0.01399999999999989
107,-0.01299999999999989,0.2233340914668727,0.001212973885711947,0.03233634258338802,0.02550151799545808,0.1179223697640661,-0.01299999999999989,-0.01299999999999989
108,-0.01199999999999989,0.2340887734503631,0.001162109519370527,0.02759624199460562,0.02497795974216045,0.1145275905812044,-0.01199999999999989,-0.01199999999999989
109,-0.01099999999999989,0.2451978467340272,0.001115054931316769,0.02353408161097283,0.0244756938487838,0.1117288267940061,-0.01099999999999989,-0.01099999999999989
110,-0.009999999999999884,0.256657454621185,0.001071624744746731,0.02005753653785005,0.0239938586603799,0.1094314480259607,-0.009999999999999884,-0.009999999999999884
111,-0.008999999999999881,0.2684621504037515,0.00103161444113256,0.01708557398348577,0.02353162704966403,0.1075537916319157,-0.008999999999999881,-0.008999999999999881
112,-0.00799999999999988,0.2806048344494447,0.0009948103859441033,0.01454743540971798,0.02308820506078906,0.1060257963209899,-0.00799999999999988,-0.00799999999999988
113,-0.006999999999999875,0.2930767039502358,0.0009609970977609943,0.01238159903867843,0.02266283060419211,0.1047876976588674,-0.006999999999999875,-0.006999999999999875
114,-0.005999999999999871,0.3058672171380942,0.0009299623824954948,0.01053476739724494,0.02225477220076916,0.1037888011132803,-0.005999999999999871,-0.005999999999999871
115,-0.004999999999999869,0.3189640736549523,0.0009015008414605229,0.008960908590524286,0.02186332777367845,0.1029863432335066,-0.004999999999999869,-0.004999999999999869
116,-0.003999999999999866,0.3323532125888062,0.0008754161592804861,0.007620368146537769,0.02148782348611761,0.1023444472037545,-0.003999999999999866,-0.003999999999999866
117,-0.002999999999999864,0.346018829456429,0.0008515224895100637,0.006479059756001306,0.02112761262346461,0.10183317537378,-0.002999999999999864,-0.002999999999999864
118,-0.00199999999999986,0.3599434131269607,0.0008296451830583888,0.005507737307310048,0.02078207451821711,0.1014276784166071,-0.00199999999999986,-0.00199999999999986
119,-0.0009999999999998576,0.3741078033436949,0.000809621046027666,0.004681346659612054,0.02045061351620943,0.1011074384437208,-0.0009999999999998576,-0.0009999999999998576
120,1.464799857478721e-16,0.3884912691202447,0.0007912982674856796,0.003978453093609577,0.02013265798263078,0.1008556016614706,1.464799857478721e-16,1.464799857478721e-16
121,0.001000000000000151,0.403071607870908,0.0007745361219182221,0.003380738925596444,0.01982765934641178,0.1006583949104042,0.001000000000000151,0.001000000000000151
122,0.002000000000000153,0.4178252646946843,0.0007592045236713798,0.002872565053784542,0.01953509118159006,0.1005046196206813,0.002000000000000153,0.002000000000000153
123,0.003000000000000156,0.4327274707811546,0.0007451834898566337,0.002440589992960845,0.01925444832430809,0.1003852162708681,0.003000000000000156,0.003000000000000156
124,0.004000000000000158,0.4477523994588502,0.0007323625524975604,0.002073440071362932,0.01898524602413875,0.1002928922866534,0.004000000000000158,0.004000000000000158
125,0.005000000000000163,0.4628733379781688,0.0007206401489631289,0.001761424787699104,0.01872701912847528,0.1002218063977287,0.005000000000000163,0.005000000000000163
126,0.006000000000000165,0.4780628727267717,0.0007099230110201356,0.001496291768259787,0.01847932129876302,0.1001673027288678,0.006000000000000165,0.006000000000000165
127,0.00700000000000017,0.4932930852304961,0.0007001255664122725,0.001271016263081324,0.01824172425739011,0.1001256882857443,0.00700000000000017,0.00700000000000017
128,0.00800000000000016,0.5085357560104785,0.0006911693621691048,0.00107962063512963,0.01801381706409328,0.1000940479650939,0.00800000000000016,0.00800000000000016
129,0.009000000000000147,0.5237625731585929,0.0006829825154314319,0.0009170198009025459,0.01779520542077302,0.1000700917374525,0.009000000000000147,0.009000000000000147
130,0.01000000000000012,0.5389453423668563,0.0006754991951211085,0.0007788890583936071,0.01758551100364957,0.1000520291906163,0.01000000000000012,0.01000000000000012
131,0.01100000000000011,0.5540561951073295,0.0006686591360350682,0.0006615511798529506,0.01738437082172773,0.100038467161108,0.01100000000000011,0.01100000000000011
132,0.01200000000000012,0.5690677917087976,0.0006624071857185617,0.0005618800479401108,0.01719143660057355,0.1000283267027284,0.01200000000000012,0.01200000000000012
133,0.01300000000000014,0.5839535162131666,0.000656692883631989,0.0004772184736440223,0.01700637419044095,0.100020776133896,0.01300000000000014,0.01300000000000014
134,0.01400000000000015,0.5986876601124541,0.0006514700715653086,0.0004053081537764207,0.01682886299781945,0.1000151773611426,0.01400000000000015,0.01400000000000015
135,0.01500000000000016,0.6132455923577416,0.0006466965338966451,0.0003442300072074586,0.01665859543950714,0.1000110430902882,0.01500000000000016,0.01500000000000016
136,0.01600000000000017,0.6276039133829937,0.0006423336660803238,0.0002923533752771012,0.01649527641834483,0.1000080029075475,0.01600000000000017,0.01600000000000017
137,0.01700000000000017,0.6417405912857177,0.0006383461696419969,0.0002482927862605004,0.01633862281977784,0.1000057765401823,0.01700000000000017,0.01700000000000017
138,0.01800000000000018,0.6556350787381015,0.0006347017719238422,0.0002108711697245329,0.01618836302844212,0.1000041528918342,0.01800000000000018,0.01800000000000018
139,0.01900000000000019,0.6692684096510905,0.0006313709688383778,0.0001790885673193726,0.01604423646400039,0.1000029736939051,0.01900000000000019,0.01900000000000019
140,0.02000000000000018,0.682623275064553,0.0006283267889387017,0.000152095525041025,0.01590599313548193,0.1000021208244807,0.02000000000000018,0.02000000000000018
141,0.02100000000000017,0.6956840781748211,0.0006255445771840277,0.0001291704710700223,0.01577339321340715,0.1000015065238624,0.02100000000000017,0.02100000000000017
142,0.02200000000000017,0.7084369688235875,0.0006230017968636193,0.0001097004854626858,0.01564620661900447,0.1000010658844448,0.02200000000000017,0.02200000000000017
143,0.02300000000000016,0.7208698581483959,0.0006206778482335197,9.316495550023855e-05,0.01552421262985234,0.1000007511160732,0.02300000000000016,0.02300000000000016
144,0.02400000000000016,0.7329724144261152,0.0006185539025145199,7.91216853839018e-05,0.01540719950130451,0.1000005271895694,0.02400000000000016,0.02400000000000016
145,0.02500000000000015,0.7447360414205948,0.0006166127499936294,6.71950929549177e-05,0.01529496410307985,0.1000003685440334,0.02500000000000015,0.02500000000000015
146,0.02600000000000014,0.7561538407704054,0.0006148386610628781,5.706618074893782e-05,0.01518731157042194,0.1000002566107122,0.02600000000000014,0.02600000000000014
147,0.02700000000000014,0.7672205601208022,0.0006132172591172958,4.846401529591155e-05,0.01508405496925542,0.1000001779602478,0.02700000000000014,0.02700000000000014
148,0.02800000000000013,0.7779325288166076,0.0006117354043175497,4.11584883023259e-05,0.01498501497478795,0.1000001229232526,0.02800000000000013,0.02800000000000013
149,0.02900000000000012,0.7882875830322333,0.0006103810873015307,3.49541671974496e-05,0.01489001956302748,0.1000000845683597,0.02900000000000012,0.02900000000000012
150,0.03000000000000011,0.798284982225788,0.0006091433320029708,2.968507134568186e-05,0.01479890371470468,0.1000000579488195,0.03000000000000011,0.03000000000000011
151,0.03100000000000011,0.8079253187714392,0.0006080121068039049,2.521023475898881e-05,0.01471150913110968,0.1000000395497826,0.03100000000000011,0.03100000000000011
152,0.03200000000000011,0.8172104225540847,0.0006069782433115857,2.140993701761796e-05,0.01462768396137117,0.1000000268847765,0.03200000000000011,0.03200000000000011
153,0.03300000000000011,0.8261432622094765,0.0006060333621094655,1.818250186392398e-05,0.01454728254072409,0.1000000182025228,0.03300000000000011,0.03300000000000011
154,0.03400000000000011,0.8347278445678781,0.0006051698048863276,1.544157803506916e-05,0.01447016513932927,0.1000000122749451,0.03400000000000011,0.03400000000000011
155,0.03500000000000011,0.8429691137166209,0.0006043805723978129,1.311382974004502e-05,0.01439619772122558,0.1000000082446145,0.03500000000000011,0.03500000000000011
156,0.03600000000000012,0.8508728509426596,0.0006036592677607321,1.113697510155191e-05,0.01432525171301104,0.1000000055154883,0.03600000000000012,0.03600000000000012
157,0.03700000000000012,0.8584455766559437,0.0006030000446229374,9.458120160844477e-06,0.01425720378186529,0.100000003675026,0.03700000000000012,0.03700000000000012
158,0.03800000000000012,0.8656944552330044,0.0006023975597904242,8.032343928349157e-06,0.01419193562254053,0.1000000024389319,0.03800000000000012,0.03800000000000012
159,0.03900000000000012,0.8726272035617552,0.0006018469299289992,6.82149666307464e-06,0.01412933375296294,0.1000000016121363,0.03900000000000012,0.03900000000000012
160,0.04000000000000013,0.8792520039164968,0.0006013436919905403,5.793179256974098e-06,0.01406928931810008,0.1000000010613697,0.04000000000000013,0.04000000000000013
161,0.04100000000000013,0.8855774216491712,0.0006008837670438042,4.919876437470053e-06,0.01401169790176376,0.1000000006959762,0.04100000000000013,0.04100000000000013
162,0.04200000000000013,0.89161232805096,0.0006004634272171515,4.178220610774768e-06,0.01395645934603045,0.1000000004545534,0.04200000000000013,0.04200000000000013
