"time","vc.v_stim","vc.i","vc.is_end","vc.v_pulse","vc.vs_end","vc.v"
17.8,-0.05,-1.592225594645491e-12,0,-0.12,0,-0.05
17.9,-0.05,-1.592225618695708e-12,0,-0.12,0,-0.05
18,-0.05,-1.59222564074104e-12,0,-0.12,0,-0.05
18.1,-0.05,-1.592225660948155e-12,0,-0.12,0,-0.05
18.2,-0.05,-1.59222567947092e-12,0,-0.12,0,-0.05
18.3,-0.05,-1.592225696449149e-12,0,-0.12,0,-0.05
18.4,-0.05,-1.592225712012242e-12,0,-0.12,0,-0.05
18.5,-0.05,-1.592225726277596e-12,0,-0.12,0,-0.05
18.6,-0.05,-1.592225739353959e-12,0,-0.12,0,-0.05
18.7,-0.05,-1.592225751339913e-12,0,-0.12,0,-0.05
18.8,-0.05,-1.592225762326853e-12,0,-0.12,0,-0.05
18.9,-0.05,-1.592225772397585e-12,0,-0.12,0,-0.05
19,-0.05,-1.592225781628937e-12,0,-0.12,0,-0.05
19.1,-0.05,-1.592225790090459e-12,0,-0.12,0,-0.05
19.2,-0.05,-1.59222579784673e-12,0,-0.12,0,-0.05
19.3,-0.05,-1.592225804956192e-12,0,-0.12,0,-0.05
19.4,-0.05,-1.592225811473065e-12,0,-0.12,0,-0.05
19.5,-0.05,-1.592225817446559e-12,0,-0.12,0,-0.05
19.6,-0.05,-1.592225822922096e-12,0,-0.12,0,-0.05
19.7,-0.05,-1.59222582794113e-12,0,-0.12,0,-0.05
19.8,-0.05,-1.592225832541734e-12,0,-0.12,0,-0.05
19.9,-0.05,-1.592225836758806e-12,0,-0.12,0,-0.05
20,-0.05,-1.592225840624278e-12,0,-0.12,0,-0.05
20,-0.12,-7.165016282809249e-12,0,-0.12,0,-0.12
20.1,-0.12,-3.156073003046416e-11,0,-0.12,0,-0.12
20.2,-0.12,-4.825167053460714e-11,0,-0.12,0,-0.12
20.3,-0.12,-5.967119684239352e-11,0,-0.12,0,-0.12
20.4,-0.12,-6.748415268295817e-11,0,-0.12,0,-0.12
20.5,-0.12,-7.282958272281772e-11,0,-0.12,0,-0.12
20.6,-0.12,-7.648679298921567e-11,0,-0.12,0,-0.12
20.7,-0.12,-7.898896528085746e-11,0,-0.12,0,-0.12
20.8,-0.12,-8.070088932159065e-11,0,-0.12,0,-0.12
20.9,-0.12,-8.187214516637362e-11,0,-0.12,0,-0.12
21,-0.12,-8.267348927951667e-11,0,-0.12,0,-0.12
21.1,-0.12,-8.322174898862038e-11,0,-0.12,0,-0.12
21.2,-0.12,-8.359685464395818e-11,0,-0.12,0,-0.12
21.3,-0.12,-8.385349260280419e-11,0,-0.12,0,-0.12
21.4,-0.12,-8.402907791053137e-11,0,-0.12,0,-0.12
21.5,-0.12,-8.414920901049561e-11,0,-0.12,0,-0.12
21.6,-0.12,-8.423139972090188e-11,0,-0.12,0,-0.12
21.7,-0.12,-8.428763256051577e-11,0,-0.12,0,-0.12
21.8,-0.12,-8.432610567062119e-11,0,-0.12,0,-0.12
21.9,-0.12,-8.435242801518844e-11,0,-0.12,0,-0.12
22,-0.12,-8.43704371084386e-11,0,-0.12,0,-0.12
22.1,-0.12,-8.438275848223708e-11,0,-0.12,0,-0.12
22.2,-0.12,-8.439118845981629e-11,0,-0.12,0,-0.12
22.3,-0.12,-8.439695604086299e-11,0,-0.12,0,-0.12
22.4,-0.12,-8.440090207640336e-11,0,-0.12,0,-0.12
22.5,-0.12,-8.440360185580112e-11,0,-0.12,0,-0.12
22.6,-0.12,-8.440544897773371e-11,0,-0.12,0,-0.12
22.7,-0.12,-8.440671273263088e-11,0,-0.12,0,-0.12
22.8,-0.12,-8.440757736229204e-11,0,-0.12,0,-0.12
22.9,-0.12,-8.440816892013004e-11,0,-0.12,0,-0.12
23,-0.12,-8.440857364934865e-11,0,-0.12,0,-0.12
23.1,-0.12,-8.440885055508997e-11,0,-0.12,0,-0.12
23.2,-0.12,-8.440904000716449e-11,0,-0.12,0,-0.12
23.3,-0.12,-8.440916962559862e-11,0,-0.12,0,-0.12
23.4,-0.12,-8.440925830733263e-11,0,-0.12,0,-0.12
23.5,-0.12,-8.440931898118659e-11,0,-0.12,0,-0.12
23.6,-0.12,-8.440936049274021e-11,0,-0.12,0,-0.12
23.7,-0.12,-8.440938889392082e-11,0,-0.12,0,-0.12
23.8,-0.12,-8.440940832526027e-11,0,-0.12,0,-0.12
23.9,-0.12,-8.440942161960887e-11,0,-0.12,0,-0.12
24,-0.12,-8.440943071530493e-11,0,-0.12,0,-0.12
24,-0.05,-1.875765127006776e-11,-8.440943071530493e-11,-0.115,-0.12,-0.05
24.00000000000031,-0.05,-1.875765127006319e-11,-8.440943071530493e-11,-0.115,-0.12,-0.05
24.00000000000031,-0.05,-1.875765127006319e-11,-8.440943071530493e-11,-0.115,-0.12,-0.05
24.1,-0.05,-1.73264636684064e-11,-8.440943071530493e-11,-0.115,-0.12,-0.05
24.2,-0.05,-1.601460302214485e-11,-8.440943071530493e-11,-0.115,-0.12,-0.05
24.3,-0.05,-1.481212030563864e-11,-8.440943071530493e-11,-0.115,-0.12,-0.05
24.4,-0.05,-1.370989600489525e-11,-8.440943071530493e-11,-0.115,-0.12,-0.05
24.5,-0.05,-1.269957095616605e-11,-8.440943071530493e-11,-0.115,-0.12,-0.05
24.6,-0.05,-1.177348295085002e-11,-8.440943071530493e-11,-0.115,-0.12,-0.05
24.7,-0.05,-1.092460862602427e-11,-8.440943071530493e-11,-0.115,-0.12,-0.05
24.8,-0.05,-1.014651019994795e-11,-8.440943071530493e-11,-0.115,-0.12,-0.05
24.9,-0.05,-9.43328664852464e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
25,-0.05,-8.779528952507419e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
25.1,-0.05,-8.180279076021187e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
25.2,-0.05,-7.630992365269313e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
25.3,-0.05,-7.127503082345515e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
25.4,-0.05,-6.665992812647171e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
25.5,-0.05,-6.242961506394875e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
25.6,-0.05,-5.855200934607216e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
25.7,-0.05,-5.499770358152982e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
25.8,-0.05,-5.173974225506856e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
25.9,-0.05,-4.87534172997005e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
26,-0.05,-4.601608071220104e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
26.1,-0.05,-4.350697279354879e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
26.2,-0.05,-4.120706470905833e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
26.3,-0.05,-3.909891417567737e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
26.4,-0.05,-3.716653318124534e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
26.5,-0.05,-3.539526673295867e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
26.6,-0.05,-3.37716817154422e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
26.7,-0.05,-3.228346501501568e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
26.8,-0.05,-3.091933013853255e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
26.9,-0.05,-2.966893161746329e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
27,-0.05,-2.852278654885896e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
27.1,-0.05,-2.7472202678208e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
27.2,-0.05,-2.650921247751926e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
27.3,-0.05,-2.56265127216207e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
27.4,-0.05,-2.481740909971497e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
27.5,-0.05,-2.407576544724218e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
27.6,-0.05,-2.339595720966923e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
27.7,-0.05,-2.277282878625162e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
27.8,-0.05,-2.220165443061549e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
27.9,-0.05,-2.167810241104425e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
28,-0.05,-2.119820215901168e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
28.1,-0.05,-2.075831415695446e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
28.2,-0.05,-2.035510233622502e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
28.3,-0.05,-1.998550877696782e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
28.4,-0.05,-1.964673051697077e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
28.5,-0.05,-1.933619829418951e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
28.6,-0.05,-1.905155706207785e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
28.7,-0.05,-1.879064812842738e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
28.8,-0.05,-1.855149278525114e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
28.9,-0.05,-1.833227730109447e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
29,-0.05,-1.813133916664654e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
29.1,-0.05,-1.794715448634516e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
29.2,-0.05,-1.777832642113712e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
29.3,-0.05,-1.762357459513314e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
29.4,-0.05,-1.748172538529535e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
29.5,-0.05,-1.735170302071247e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
29.6,-0.05,-1.723252142423012e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
