"time","a1.vc.v_stim","a2.vc.v_stim","a3.vc.v_stim","b1.vc.v_stim","b2.vc.v_stim","b3.vc.v_stim","c1.vc.v_stim","c2.vc.v_stim","c3.vc.v_stim","d1.vc.v_stim","d2.vc.v_stim","d3.vc.v_stim","a1.naca.i_ion","a2.naca.i_ion","a3.naca.i_ion","b1.naca.i_ion","b2.naca.i_ion","b3.naca.i_ion","c1.naca.i_ion","c2.naca.i_ion","c3.naca.i_ion","d1.naca.i_ion","d2.naca.i_ion","d3.naca.i_ion","a1.naca.i","a1.vc.v","a2.naca.i","a2.vc.v","a3.naca.i","a3.vc.v","b1.naca.i","b1.vc.v","b2.naca.i","b2.vc.v","b3.naca.i","b3.vc.v","c1.naca.i","c1.vc.v","c2.naca.i","c2.vc.v","c3.naca.i","c3.vc.v","d1.naca.i","d1.vc.v","d2.naca.i","d2.vc.v","d3.naca.i","d3.vc.v"
20,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,2.504110398532496e-11,7.873565879385192e-12,7.613967463460978e-13,1.371217335970369e-11,9.680562062280374e-12,1.708077574115223e-12,-4.569039419634594e-11,-2.393510356951409e-11,-7.606143013305552e-12,-1.340568818914213e-10,-1.130187886936966e-10,-7.640481775527235e-11,2.504110398532496e-11,-0.12,7.873565879385192e-12,-0.12,7.613967463460978e-13,-0.12,1.371217335970369e-11,-0.12,9.680562062280374e-12,-0.12,1.708077574115223e-12,-0.12,-4.569039419634594e-11,-0.12,-2.393510356951409e-11,-0.12,-7.606143013305552e-12,-0.12,-1.340568818914213e-10,-0.12,-1.130187886936966e-10,-0.12,-7.640481775527235e-11,-0.12
21,-0.119,-0.119,-0.119,-0.119,-0.119,-0.119,-0.119,-0.119,-0.119,-0.119,-0.119,-0.119,2.536210982386856e-11,8.008680562170839e-12,7.758404567111896e-13,1.385743053996767e-11,9.802731019741968e-12,1.736520297911437e-12,-4.547172106823549e-11,-2.377986967015493e-11,-7.543669909933809e-12,-1.33458886167164e-10,-1.124606540833927e-10,-7.598022432910482e-11,2.536210982386856e-11,-0.119,8.008680562170839e-12,-0.119,7.758404567111896e-13,-0.119,1.385743053996767e-11,-0.119,9.802731019741968e-12,-0.119,1.736520297911437e-12,-0.119,-4.547172106823549e-11,-0.119,-2.377986967015493e-11,-0.119,-7.543669909933809e-12,-0.119,-1.33458886167164e-10,-0.119,-1.124606540833927e-10,-0.119,-7.598022432910482e-11,-0.119
22,-0.118,-0.118,-0.118,-0.118,-0.118,-0.118,-0.118,-0.118,-0.118,-0.118,-0.118,-0.118,2.568640119097157e-11,8.145886790567108e-12,7.905461295687144e-13,1.400365162074731e-11,9.926004172878546e-12,1.765390243774895e-12,-4.525348124375612e-11,-2.362482709099864e-11,-7.481298995066674e-12,-1.328601899442112e-10,-1.119022484180566e-10,-7.555584413613532e-11,2.568640119097157e-11,-0.118,8.145886790567108e-12,-0.118,7.905461295687144e-13,-0.118,1.400365162074731e-11,-0.118,9.926004172878546e-12,-0.118,1.765390243774895e-12,-0.118,-4.525348124375612e-11,-0.118,-2.362482709099864e-11,-0.118,-7.481298995066674e-12,-0.118,-1.328601899442112e-10,-0.118,-1.119022484180566e-10,-0.118,-7.555584413613532e-11,-0.118
23,-0.117,-0.117,-0.117,-0.117,-0.117,-0.117,-0.117,-0.117,-0.117,-0.117,-0.117,-0.117,2.601399287169566e-11,8.285210912798569e-12,8.05518209973069e-13,1.415083261808696e-11,1.005038256050037e-11,1.794692722397087e-12,-4.503567656110321e-11,-2.346997365582451e-11,-7.419030036625112e-12,-1.322608124877157e-10,-1.113435852487545e-10,-7.513167860320484e-11,2.601399287169566e-11,-0.117,8.285210912798569e-12,-0.117,8.05518209973069e-13,-0.117,1.415083261808696e-11,-0.117,1.005038256050037e-11,-0.117,1.794692722397087e-12,-0.117,-4.503567656110321e-11,-0.117,-2.346997365582451e-11,-0.117,-7.419030036625112e-12,-0.117,-1.322608124877157e-10,-0.117,-1.113435852487545e-10,-0.117,-7.513167860320484e-11,-0.117
24,-0.116,-0.116,-0.116,-0.116,-0.116,-0.116,-0.116,-0.116,-0.116,-0.116,-0.116,-0.116,2.634489927829284e-11,8.426679445550408e-12,8.207612106749626e-13,1.429896935028403e-11,1.017586702888111e-11,1.824433084026411e-12,-4.481830884412044e-11,-2.331530721045597e-11,-7.356862859860269e-12,-1.316607732310365e-10,-1.107846782161862e-10,-7.470772914139288e-11,2.634489927829284e-11,-0.116,8.426679445550408e-12,-0.116,8.207612106749626e-13,-0.116,1.429896935028403e-11,-0.116,1.017586702888111e-11,-0.116,1.824433084026411e-12,-0.116,-4.481830884412044e-11,-0.116,-2.331530721045597e-11,-0.116,-7.356862859860269e-12,-0.116,-1.316607732310365e-10,-0.116,-1.107846782161862e-10,-0.116,-7.470772914139288e-11,-0.116
25,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,2.667913443957461e-11,8.570319070193762e-12,8.362797129569333e-13,1.444805743738935e-11,1.030245822906389e-11,1.854616718091479e-12,-4.460137990237828e-11,-2.316082562463011e-11,-7.294797348851885e-12,-1.310600917744203e-10,-1.102255410508508e-10,-7.428399714754951e-11,2.667913443957461e-11,-0.115,8.570319070193762e-12,-0.115,8.362797129569333e-13,-0.115,1.444805743738935e-11,-0.115,1.030245822906389e-11,-0.115,1.854616718091479e-12,-0.115,-4.460137990237828e-11,-0.115,-2.316082562463011e-11,-0.115,-7.294797348851885e-12,-0.115,-1.310600917744203e-10,-0.115,-1.102255410508508e-10,-0.115,-7.428399714754951e-11,-0.115
26,-0.114,-0.114,-0.114,-0.114,-0.114,-0.114,-0.114,-0.114,-0.114,-0.114,-0.114,-0.114,2.70167119902492e-11,8.716156628835936e-12,8.520783674739796e-13,1.459809230079284e-11,1.043015661422182e-11,1.885249052802518e-12,-4.438489153125399e-11,-2.300652679392699e-11,-7.232833448018965e-12,-1.304587878836317e-10,-1.096661875732109e-10,-7.386048400589075e-11,2.70167119902492e-11,-0.114,8.716156628835936e-12,-0.114,8.520783674739796e-13,-0.114,1.459809230079284e-11,-0.114,1.043015661422182e-11,-0.114,1.885249052802518e-12,-0.114,-4.438489153125399e-11,-0.114,-2.300652679392699e-11,-0.114,-7.232833448018965e-12,-0.114,-1.304587878836317e-10,-0.114,-1.096661875732109e-10,-0.114,-7.386048400589075e-11,-0.114
27,-0.113,-0.113,-0.113,-0.113,-0.113,-0.113,-0.113,-0.113,-0.113,-0.113,-0.113,-0.113,2.735764516023274e-11,8.864219120194392e-12,8.681618950995188e-13,1.474906916289541e-11,1.055896243707547e-11,1.916335554730989e-12,-4.416884551201358e-11,-2.285240864176029e-11,-7.170971163641539e-12,-1.298568814885333e-10,-1.091066316938575e-10,-7.343719108965954e-11,2.735764516023274e-11,-0.113,8.864219120194392e-12,-0.113,8.681618950995188e-13,-0.113,1.474906916289541e-11,-0.113,1.055896243707547e-11,-0.113,1.916335554730989e-12,-0.113,-4.416884551201358e-11,-0.113,-2.285240864176029e-11,-0.113,-7.170971163641539e-12,-0.113,-1.298568814885333e-10,-0.113,-1.091066316938575e-10,-0.113,-7.343719108965954e-11,-0.113
28,-0.112,-0.112,-0.112,-0.112,-0.112,-0.112,-0.112,-0.112,-0.112,-0.112,-0.112,-0.112,2.77019467639408e-11,9.014533695289411e-12,8.84535087776249e-13,1.490098304686839e-11,1.068887574737034e-11,1.94788172836647e-12,-4.395324361189552e-11,-2.269846912143041e-11,-7.109210565391901e-12,-1.292543926816143e-10,-1.085468874136724e-10,-7.301411976285352e-11,2.77019467639408e-11,-0.112,9.014533695289411e-12,-0.112,8.84535087776249e-13,-0.112,1.490098304686839e-11,-0.112,1.068887574737034e-11,-0.112,1.94788172836647e-12,-0.112,-4.395324361189552e-11,-0.112,-2.269846912143041e-11,-0.112,-7.109210565391901e-12,-0.112,-1.292543926816143e-10,-0.112,-1.085468874136724e-10,-0.112,-7.301411976285352e-11,-0.112
29,-0.111,-0.111,-0.111,-0.111,-0.111,-0.111,-0.111,-0.111,-0.111,-0.111,-0.111,-0.111,2.804962918956681e-11,9.167127652954424e-12,9.012028093715471e-13,1.50538287765017e-11,1.081989638941657e-11,1.979893115651006e-12,-4.373808758419608e-11,-2.254470621824136e-11,-7.047551787873868e-12,-1.286513417164672e-10,-1.079869688239903e-10,-7.259127138202181e-11,2.804962918956681e-11,-0.111,9.167127652954424e-12,-0.111,9.012028093715471e-13,-0.111,1.50538287765017e-11,-0.111,1.081989638941657e-11,-0.111,1.979893115651006e-12,-0.111,-4.373808758419608e-11,-0.111,-2.254470621824136e-11,-0.111,-7.047551787873868e-12,-0.111,-1.286513417164672e-10,-0.111,-1.079869688239903e-10,-0.111,-7.259127138202181e-11,-0.111
