"time","l2.v","vc.i","vc.is_end","vc.v_pulse","vc.vs_end","vc.v"
12.6,-0.05,-1.592198700671853e-12,0,-0.12,0,-0.05
12.7,-0.05,-1.592201157722154e-12,0,-0.12,0,-0.05
12.8,-0.05,-1.592203428705773e-12,0,-0.12,0,-0.05
12.9,-0.05,-1.59220551362271e-12,0,-0.12,0,-0.05
13,-0.05,-1.592207412472965e-12,0,-0.12,0,-0.05
13.1,-0.05,-1.592209125256539e-12,0,-0.12,0,-0.05
13.2,-0.05,-1.59221065197343e-12,0,-0.12,0,-0.05
13.3,-0.05,-1.59221199262364e-12,0,-0.12,0,-0.05
13.4,-0.05,-1.592213147207168e-12,0,-0.12,0,-0.05
13.5,-0.05,-1.592213931361572e-12,0,-0.12,0,-0.05
13.6,-0.05,-1.592214543064573e-12,0,-0.12,0,-0.05
13.7,-0.05,-1.592215154767574e-12,0,-0.12,0,-0.05
13.8,-0.05,-1.592215766470575e-12,0,-0.12,0,-0.05
13.9,-0.05,-1.592216378173576e-12,0,-0.12,0,-0.05
14,-0.05,-1.592216989876577e-12,0,-0.12,0,-0.05
14.1,-0.05,-1.592217601579577e-12,0,-0.12,0,-0.05
14.2,-0.05,-1.592218213282578e-12,0,-0.12,0,-0.05
14.3,-0.05,-1.592218824985579e-12,0,-0.12,0,-0.05
14.4,-0.05,-1.592219248086723e-12,0,-0.12,0,-0.05
14.5,-0.05,-1.592219607144345e-12,0,-0.12,0,-0.05
14.6,-0.05,-1.592219966201968e-12,0,-0.12,0,-0.05
14.7,-0.05,-1.592220325259591e-12,0,-0.12,0,-0.05
14.8,-0.05,-1.592220684317213e-12,0,-0.12,0,-0.05
14.9,-0.05,-1.592221043374836e-12,0,-0.12,0,-0.05
15,-0.05,-1.592221402432458e-12,0,-0.12,0,-0.05
15.1,-0.05,-1.592221761490081e-12,0,-0.12,0,-0.05
15.2,-0.05,-1.592222120547703e-12,0,-0.12,0,-0.05
15.3,-0.05,-1.592222268677948e-12,0,-0.12,0,-0.05
15.4,-0.05,-1.592222396663112e-12,0,-0.12,0,-0.05
15.5,-0.05,-1.592222524648275e-12,0,-0.12,0,-0.05
15.6,-0.05,-1.592222652633438e-12,0,-0.12,0,-0.05
15.7,-0.05,-1.592222780618602e-12,0,-0.12,0,-0.05
15.8,-0.05,-1.592222908603765e-12,0,-0.12,0,-0.05
15.9,-0.05,-1.592223036588928e-12,0,-0.12,0,-0.05
16,-0.05,-1.592223164574092e-12,0,-0.12,0,-0.05
16.1,-0.05,-1.592223292559255e-12,0,-0.12,0,-0.05
16.2,-0.05,-1.592223420544418e-12,0,-0.12,0,-0.05
16.3,-0.05,-1.592223548529581e-12,0,-0.12,0,-0.05
16.4,-0.05,-1.592223676514745e-12,0,-0.12,0,-0.05
16.5,-0.05,-1.592223804499908e-12,0,-0.12,0,-0.05
16.6,-0.05,-1.592223932485071e-12,0,-0.12,0,-0.05
16.7,-0.05,-1.592224060470234e-12,0,-0.12,0,-0.05
16.8,-0.05,-1.592224188455398e-12,0,-0.12,0,-0.05
16.9,-0.05,-1.592224316440561e-12,0,-0.12,0,-0.05
17,-0.05,-1.592224425389468e-12,0,-0.12,0,-0.05
17.1,-0.05,-1.592224475815272e-12,0,-0.12,0,-0.05
17.2,-0.05,-1.592224526241075e-12,0,-0.12,0,-0.05
17.3,-0.05,-1.592224576666879e-12,0,-0.12,0,-0.05
