"time","an_nh.l2.v","an_nh.naca.e1","an_nh.naca.e2","an_nh.naca.e3","an_nh.naca.e4","an_nh.naca.f1_3n_i","an_nh.naca.f1_3n_o","an_nh.naca.i","an_nh.naca.k_12","an_nh.naca.k_14","an_nh.naca.k_21","an_nh.naca.k_23","an_nh.naca.k_32","an_nh.naca.k_41","n.l2.v","n.naca.e1","n.naca.e2","n.naca.e3","n.naca.e4","n.naca.f1_3n_i","n.naca.f1_3n_o","n.naca.i","n.naca.k_12","n.naca.k_14","n.naca.k_21","n.naca.k_23","n.naca.k_32","n.naca.k_41","an_nh.naca.k_34","an_nh.naca.k_43","an_nh.vc.v","n.naca.k_34","n.naca.k_43","n.vc.v"
0.121,0.02023999999999999,0.8449248627136654,0.05341759332108158,0.01400475290572778,0.08765279105952534,0.232288037166086,0.9677664641269709,4.029959835384474e-11,0.005789403497094676,0.09615260263065806,0.2190097833770762,0.1812965120553466,1.177585070533891,0.8491955486040783,0.02023999999999999,0.8449248627136654,0.05341759332108158,0.01400475290572778,0.08765279105952534,0.232288037166086,0.9677664641269709,1.456776021574793e-11,0.005789403497094676,0.09615260263065806,0.2190097833770762,0.1812965120553466,1.177585070533891,0.8491955486040783,0.9677664641269709,0.232288037166086,0.02023999999999999,0.9677664641269709,0.232288037166086,0.02023999999999999
0.122,0.01968,0.8459273331616067,0.05305338541194052,0.01396417249287289,0.08705510893357989,0.232288037166086,0.9677664641269709,3.971019104612022e-11,0.005805945395521327,0.0957171159793313,0.2190097833770762,0.1821183313341888,1.172271151246625,0.8530449622824657,0.01968,0.8459273331616067,0.05305338541194052,0.01396417249287289,0.08705510893357989,0.232288037166086,0.9677664641269709,1.435469743896913e-11,0.005805945395521327,0.0957171159793313,0.2190097833770762,0.1821183313341888,1.172271151246625,0.8530449622824657,0.9677664641269709,0.232288037166086,0.01968,0.9677664641269709,0.232288037166086,0.01968
0.123,0.01912,0.8469235119547984,0.05269234152718862,0.01392365031605865,0.08646049620195427,0.232288037166086,0.9677664641269709,3.912467095658837e-11,0.005822534281842388,0.09528359716942167,0.2190097833770762,0.1829438759297478,1.166981211320934,0.8569118253995505,0.01912,0.8469235119547984,0.05269234152718862,0.01392365031605865,0.08646049620195427,0.232288037166086,0.9677664641269709,1.414303983903701e-11,0.005822534281842388,0.09528359716942167,0.2190097833770762,0.1829438759297478,1.166981211320934,0.8569118253995505,0.9677664641269709,0.232288037166086,0.01912,0.9677664641269709,0.232288037166086,0.01912
0.124,0.01855999999999999,0.8479134111917194,0.05233444650866978,0.0138831897420447,0.08586895255756617,0.232288037166086,0.9677664641269709,3.854301837420281e-11,0.005839170287944771,0.09485203731656365,0.2190097833770762,0.1837731627289295,1.161715142548591,0.8607962170538489,0.01855999999999999,0.8479134111917194,0.05233444650866978,0.0138831897420447,0.08586895255756617,0.232288037166086,0.9677664641269709,1.393278029067466e-11,0.005839170287944771,0.09485203731656365,0.2190097833770762,0.1837731627289295,1.161715142548591,0.8607962170538489,0.9677664641269709,0.232288037166086,0.01855999999999999,0.9677664641269709,0.232288037166086,0.01855999999999999
0.125,0.018,0.8488970433481334,0.05197968505679282,0.01384279411947389,0.08528047747559979,0.232288037166086,0.9677664641269709,3.796521339229664e-11,0.005855853546076506,0.09442242757649026,0.2190097833770762,0.184606208695188,1.156472837209666,0.8646982167024319,0.018,0.8488970433481334,0.05197968505679282,0.01384279411947389,0.08528047747559979,0.232288037166086,0.9677664641269709,1.372391159789102e-11,0.005855853546076506,0.09442242757649026,0.2190097833770762,0.184606208695188,1.156472837209666,0.8646982167024319,0.9677664641269709,0.232288037166086,0.018,0.9677664641269709,0.232288037166086,0.018
0.126,0.01744,0.8498744212720888,0.05162804173404538,0.0138024667785207,0.08469507021534511,0.232288037166086,0.9677664641269709,3.73912359131253e-11,0.005872584188847688,0.09399475914485202,0.2190097833770762,0.185443030868873,1.15125418807032,0.8686179041625501,0.01744,0.8498744212720888,0.05162804173404538,0.0138024667785207,0.08469507021534511,0.232288037166086,0.9677664641269709,1.3516426495623e-11,0.005872584188847688,0.09399475914485202,0.2190097833770762,0.185443030868873,1.15125418807032,0.8686179041625501,0.9677664641269709,0.232288037166086,0.01744,0.9677664641269709,0.232288037166086,0.01744
0.127,0.01687999999999999,0.8508455581788923,0.05127950096850248,0.01376221103054599,0.08411272982205924,0.232288037166086,0.9677664641269709,3.682106565240481e-11,0.005889362349231397,0.0935690232570368,0.2190097833770762,0.1862836463675785,1.146059088380615,0.8725553596132669,0.01687999999999999,0.8508455581788923,0.05127950096850248,0.01376221103054599,0.08411272982205924,0.232288037166086,0.9677664641269709,1.331031765137606e-11,0.005889362349231397,0.0935690232570368,0.2190097833770762,0.1862836463675785,1.146059088380615,0.8725553596132669,0.9677664641269709,0.232288037166086,0.01687999999999999,0.9677664641269709,0.232288037166086,0.01687999999999999
0.128,0.01631999999999999,0.8518104676460638,0.05093404705732852,0.01372203016775792,0.08353345512884969,0.232288037166086,0.9677664641269709,3.625468214384364e-11,0.005906188160564656,0.09314521118799053,0.2190097833770762,0.1871280723864925,1.140887431872324,0.8765106635970984,0.01631999999999999,0.8518104676460638,0.05093404705732852,0.01372203016775792,0.08353345512884969,0.232288037166086,0.9677664641269709,1.31055776668624e-11,0.005906188160564656,0.09314521118799053,0.2190097833770762,0.1871280723864925,1.140887431872324,0.8765106635970984,0.9677664641269709,0.232288037166086,0.01631999999999999,0.9677664641269709,0.232288037166086,0.01631999999999999
0.129,0.01576,0.8527691636082692,0.05059166417027228,0.0136819274628794,0.08295724475857903,0.232288037166086,0.9677664641269709,3.569206474366764e-11,0.00592306175654936,0.09272331425203874,0.2190097833770762,0.1879763261987492,1.135739112756766,0.8804838970216605,0.01576,0.8527691636082692,0.05059166417027228,0.0136819274628794,0.08295724475857903,0.232288037166086,0.9677664641269709,1.290219907963661e-11,0.00592306175654936,0.09272331425203874,0.2190097833770762,0.1879763261987492,1.135739112756766,0.8804838970216605,0.9677664641269709,0.232288037166086,0.01576,0.9677664641269709,0.232288037166086,0.01576
0.13,0.01519999999999999,0.853721660352235,0.05025233635315361,0.01364190616882175,0.08238409712578967,0.232288037166086,0.9677664641269709,3.513319263513618e-11,0.005939983271253241,0.09230332380270871,0.2190097833770762,0.1888284251557821,1.130614025722633,0.884475141161325,0.01519999999999999,0.853721660352235,0.05025233635315361,0.01364190616882175,0.08238409712578967,0.232288037166086,0.9677664641269709,1.270017436472828e-11,0.005939983271253241,0.09230332380270871,0.2190097833770762,0.1888284251557821,1.130614025722633,0.884475141161325,0.9677664641269709,0.232288037166086,0.01519999999999999,0.9677664641269709,0.232288037166086,0.01519999999999999
0.131,0.01463999999999999,0.8546679725116454,0.04991604753134113,0.01360196951836486,0.08181401043864861,0.232288037166086,0.9677664641269709,3.457804483304905e-11,0.005956952839110788,0.09188523123255263,0.2190097833770762,0.1896843866876788,1.125512065933845,0.8884844776588806,0.01463999999999999,0.8546679725116454,0.04991604753134113,0.01360196951836486,0.08181401043864861,0.232288037166086,0.9677664641269709,1.249949593627111e-11,0.005956952839110788,0.09188523123255263,0.2190097833770762,0.1896843866876788,1.125512065933845,0.8884844776588806,0.9677664641269709,0.232288037166086,0.01463999999999999,0.9677664641269709,0.232288037166086,0.01463999999999999
0.132,0.01407999999999999,0.8556081150620249,0.04958278151322014,0.0135621207238438,0.0812469827009112,0.232288037166086,0.9677664641269709,3.402660018824227e-11,0.00597397059492422,0.09146902797297152,0.2190097833770762,0.1905442283035379,1.120433129027397,0.8925119885272044,0.01407999999999999,0.8556081150620249,0.04958278151322014,0.0135621207238438,0.0812469827009112,0.232288037166086,0.9677664641269709,1.230015614912812e-11,0.00597397059492422,0.09146902797297152,0.2190097833770762,0.1905442283035379,1.120433129027397,0.8925119885272044,0.9677664641269709,0.232288037166086,0.01407999999999999,0.9677664641269709,0.232288037166086,0.01407999999999999
