"time","an.cell.l2.v","n.cell.l2.v","nh.cell.l2.v","an.cell.v","n.cell.v","nh.cell.v"
0.0108,-0.05013319462236134,-0.06098421397480396,-0.04910748655946793,-0.05013319462236134,-0.06098421397480396,-0.04910748655946793
0.0109,-0.04988311070772821,-0.06085697209584767,-0.04885382875786341,-0.04988311070772821,-0.06085697209584767,-0.04885382875786341
0.011,-0.04963181620135871,-0.06073117756375328,-0.04859844385258166,-0.04963181620135871,-0.06073117756375328,-0.04859844385258166
0.0111,-0.04937909678654591,-0.06060681086095371,-0.04834107301021975,-0.04937909678654591,-0.06060681086095371,-0.04834107301021975
0.0112,-0.04912472185676509,-0.0604838527514148,-0.04808143635000038,-0.04912472185676509,-0.0604838527514148,-0.04808143635000038
0.0113,-0.04886844255437158,-0.06036228427637332,-0.04781923033420533,-0.04886844255437158,-0.06036228427637332,-0.04781923033420533
0.0114,-0.04860998953463145,-0.06024208675014465,-0.04755412476782733,-0.04860998953463145,-0.06024208675014465,-0.04755412476782733
0.0115,-0.04834907040631661,-0.06012324175599862,-0.04728575933419855,-0.04834907040631661,-0.06012324175599862,-0.04728575933419855
0.0116,-0.04808536678938059,-0.06000573114210203,-0.04701373957748071,-0.04808536678938059,-0.06000573114210203,-0.04701373957748071
0.0117,-0.04781853091756086,-0.05988953701752665,-0.04673763222315473,-0.04781853091756086,-0.05988953701752665,-0.04673763222315473
0.0118,-0.0475481816976439,-0.05977464174832139,-0.04645695970277033,-0.0475481816976439,-0.05977464174832139,-0.04645695970277033
0.0119,-0.04727390011719194,-0.05966102795364721,-0.04617119371791733,-0.04727390011719194,-0.05966102795364721,-0.04617119371791733
0.012,-0.04699522386749566,-0.05954867850197388,-0.04587974763850899,-0.04699522386749566,-0.05954867850197388,-0.04587974763850899
0.0121,-0.0467116410167566,-0.05943757650733717,-0.04558196747952742,-0.0467116410167566,-0.05943757650733717,-0.04558196747952742
0.0122,-0.04642258252808198,-0.05932770532565522,-0.04527712113481626,-0.04642258252808198,-0.05932770532565522,-0.04527712113481626
0.0123,-0.04612741336488828,-0.05921904855110336,-0.04496438546155779,-0.04612741336488828,-0.05921904855110336,-0.04496438546155779
0.0124,-0.04582542185929961,-0.05911159001254589,-0.04464283069828557,-0.04582542185929961,-0.05911159001254589,-0.04464283069828557
0.0125,-0.04551580693169945,-0.05900531377002401,-0.04431140155385342,-0.04551580693169945,-0.05900531377002401,-0.04431140155385342
0.0126,-0.04519766263494379,-0.05890020411129875,-0.04396889411228701,-0.04519766263494379,-0.05890020411129875,-0.04396889411228701
0.0127,-0.04486995934553915,-0.05879624554844796,-0.0436139274424419,-0.04486995934553915,-0.05879624554844796,-0.0436139274424419
0.0128,-0.04453152072207928,-0.05869342281451635,-0.04324490845727601,-0.04453152072207928,-0.05869342281451635,-0.04324490845727601
0.0129,-0.04418099528046342,-0.0585917208602177,-0.04285998810307256,-0.04418099528046342,-0.0585917208602177,-0.04285998810307256
0.013,-0.04381682106849118,-0.05849112485068815,-0.04245700632710774,-0.04381682106849118,-0.05849112485068815,-0.04245700632710774
0.0131,-0.04343718142122942,-0.05839162016228992,-0.04203342240612533,-0.04343718142122942,-0.05839162016228992,-0.04203342240612533
0.0132,-0.04303994908738615,-0.05829319237946425,-0.04158622602540863,-0.04303994908738615,-0.05829319237946425,-0.04158622602540863
0.0133,-0.04262261505872509,-0.05819582729163307,-0.04111182285170382,-0.04262261505872509,-0.05819582729163307,-0.04111182285170382
0.0134,-0.04218219708438723,-0.05809951089014829,-0.04060588605174781,-0.04218219708438723,-0.05809951089014829,-0.04060588605174781
0.0135,-0.04171512095990119,-0.05800422936528794,-0.04006316206180103,-0.04171512095990119,-0.05800422936528794,-0.04006316206180103
0.0136,-0.04121706497003631,-0.05790996910329855,-0.03947721457346427,-0.04121706497003631,-0.05790996910329855,-0.03947721457346427
0.0137,-0.04068275401407731,-0.05781671668348265,-0.03884008490426103,-0.04068275401407731,-0.05781671668348265,-0.03884008490426103
0.0138,-0.04010568442209321,-0.05772445887533097,-0.03814183946334421,-0.04010568442209321,-0.05772445887533097,-0.03814183946334421
0.0139,-0.03947775264324931,-0.05763318263569848,-0.03736996638038612,-0.03947775264324931,-0.05763318263569848,-0.03736996638038612
0.014,-0.03878875003755979,-0.05754287510602323,-0.03650857575588261,-0.03878875003755979,-0.05754287510602323,-0.03650857575588261
0.0141,-0.03802567133436772,-0.05745352360958799,-0.03553735849235099,-0.03802567133436772,-0.05745352360958799,-0.03553735849235099
0.0142,-0.03717176643504535,-0.0573651156488232,-0.03443028609772562,-0.03717176643504535,-0.0573651156488232,-0.03443028609772562
0.0143,-0.03620524864692926,-0.05727763890265108,-0.0331541342026148,-0.03620524864692926,-0.05727763890265108,-0.0331541342026148
0.0144,-0.03509757349773169,-0.05719108122387004,-0.03166718868469545,-0.03509757349773169,-0.05719108122387004,-0.03166718868469545
