"time","an.cell.ca.cyto.c.c","an.cell.ca.sub.c.c","an.cell.l2.v","n.cell.ca.cyto.c.c","n.cell.ca.sub.c.c","n.cell.l2.v","nh.cell.ca.cyto.c.c","nh.cell.ca.sub.c.c","nh.cell.l2.v","an.cell.v","n.cell.v","nh.cell.v"
0.0505,0.0001061692893500908,6.369875685627402e-05,-0.06558145402705212,0.0005252428970712962,0.0003581108731095538,-0.05506444962563879,0.0001215901235251801,7.470337162495145e-05,-0.06264029450284224,-0.06558145402705212,-0.05506444962563879,-0.06264029450284224
0.0506,0.0001061481930790989,6.36989831145419e-05,-0.06557506969517682,0.0005247466635980676,0.0003577914180858113,-0.05506225180180456,0.0001215650514626007,7.470284218445729e-05,-0.06263444137936568,-0.06557506969517682,-0.05506225180180456,-0.06263444137936568
0.0507,0.0001061270940453241,6.369916172202741e-05,-0.06556872344784774,0.0005242518563333067,0.0003574729858227177,-0.05506005134558525,0.0001215399752582328,7.470225639662233e-05,-0.06262862473185012,-0.06556872344784774,-0.05506005134558525,-0.06262862473185012
0.0508,0.0001061059922533962,6.369929292120296e-05,-0.0655624150676052,0.0005237584686418647,0.0003571555716360975,-0.05505784815146817,0.000121514894926929,7.470161456796499e-05,-0.06262284433772146,-0.0655624150676052,-0.05505784815146817,-0.06262284433772146
0.0509,0.0001060848877082705,6.369937695345225e-05,-0.06555614433830358,0.000523266493928359,0.0003568391708679042,-0.05505564211554979,0.0001214898104838944,7.470091700350674e-05,-0.06261709997585094,-0.06555614433830358,-0.05505564211554979,-0.06261709997585094
0.051,0.0001060637804152237,6.369941405907353e-05,-0.06554991104510316,0.0005227759256369032,0.0003565237788860578,-0.05505343313551896,0.0001214647219446821,7.470016400677741e-05,-0.06261139142654566,-0.06554991104510316,-0.05505343313551896,-0.06261139142654566
0.0511,0.0001060426703798497,6.369940447728515e-05,-0.06554371497446052,0.0005222867572507925,0.0003562093910842698,-0.05505122111063501,0.0001214396293251876,7.469935587982397e-05,-0.06260571847153697,-0.06554371497446052,-0.05505122111063501,-0.06260571847153697
0.0512,0.0001060215576080554,6.369934844623027e-05,-0.0655375559141199,0.0005217989822922233,0.0003558960028818799,-0.05504900594170922,0.000121414532641644,7.469849292321786e-05,-0.06260008089397007,-0.0655375559141199,-0.05504900594170922,-0.06260008089397007
0.0513,0.0001060004421060573,6.369924620298102e-05,-0.0655314336531054,0.000521312594322028,0.0003555836097236958,-0.05504678753108868,0.0001213894319106179,7.469757543606164e-05,-0.06259447847839487,-0.0655314336531054,-0.05504678753108868,-0.06259447847839487
0.0514,0.0001059793238803771,6.36990979835425e-05,-0.0655253479817119,0.0005208275869393786,0.0003552722070798245,-0.05504456578263612,0.0001213643271490046,7.469660371599568e-05,-0.06258891101075507,-0.0655253479817119,-0.05504456578263612,-0.06258891101075507
0.0515,0.0001059582029378386,6.369890402285579e-05,-0.065519298691497,0.0005203439537815239,0.0003549617904455165,-0.05504234060171326,0.0001213392183740231,7.469557805920328e-05,-0.0625833782783785,-0.065519298691497,-0.05504234060171326,-0.0625833782783785
0.0516,0.0001059370792855628,6.369866455480447e-05,-0.0655132855752722,0.0005198616885234994,0.0003546523553410008,-0.05504011189516153,0.0001213141056032116,7.469449876042032e-05,-0.06257788006996667,-0.0655132855752722,-0.05504011189516153,-0.06257788006996667
0.0517,0.0001059159529309649,6.369837981221786e-05,-0.06550730842709468,0.0005193807848778594,0.0003543438973113248,-0.0550378795712847,0.000121288988854423,7.469336611294095e-05,-0.06257241617558511,-0.06550730842709468,-0.0550378795712847,-0.06257241617558511
0.0518,0.0001058948238817501,6.369805002687598e-05,-0.06550136704225902,0.0005189012365944044,0.0003540364119261962,-0.05503564353983131,0.0001212638681458201,7.469218040862509e-05,-0.06256698638665315,-0.06550136704225902,-0.05503564353983131,-0.06256698638665315
0.0519,0.0001058736921459101,6.369767542951306e-05,-0.06549546121728907,0.000518423037459918,0.0003537298947798286,-0.05503340371197782,0.0001212387434958715,7.46909419379041e-05,-0.06256159049593467,-0.06549546121728907,-0.05503340371197782,-0.06256159049593467
0.052,0.0001058525577317193,6.369725624982185e-05,-0.06548959074992974,0.0005179461812978976,0.0003534243414907834,-0.0550311600003112,0.000121213614923347,7.468965098978804e-05,-0.06255622829752824,-0.06548959074992974,-0.0550311600003112,-0.06255622829752824
0.0521,0.0001058314206477311,6.369679271645832e-05,-0.06548375543913906,0.0005174706619682918,0.0003531197477018148,-0.05502891231881227,0.0001211884824473131,7.468830785187252e-05,-0.06255089958685751,-0.06548375543913906,-0.05502891231881227,-0.06255089958685751
0.0522,0.0001058102809027746,6.369628505704568e-05,-0.06547795508508003,0.0005169964733672394,0.000352816109079717,-0.05502666058283895,0.0001211633460871288,7.468691281034544e-05,-0.06254560416066177,-0.06547795508508003,-0.05502666058283895,-0.06254560416066177
0.0523,0.0001057891385059503,6.369573349817881e-05,-0.06547218948911274,0.0005165236094268114,0.0003525134213151713,-0.05502440470910972,0.0001211382058624411,7.468546614999333e-05,-0.06254034181698653,-0.06547218948911274,-0.05502440470910972,-0.06254034181698653
