"time","l2.v","act_steady","act_steady2","act_tau","act_tau2","inact_steady","inact_steady2","inact_tau","inact_tau2","v","vc.v"
39,-0.04100000000000013,0.7113612443703562,0.9608342772032347,0.003285895779680425,0.003285895779680427,0.917051776291141,0.9170517762911412,3.183019004754986,3.183019004754986,-0.04100000000000013,-0.04100000000000013
40,-0.04000000000000012,0.7336777834424731,0.9677045353015488,0.003170703999768401,0.003170703999768402,0.9066246427187508,0.906624642718751,3.244410758265377,3.244410758265377,-0.04000000000000012,-0.04000000000000012
41,-0.03900000000000012,0.7548634747630929,0.9734030064231335,0.003051167198148185,0.003051167198148186,0.8949714444165082,0.8949714444165083,3.304552979963448,3.304552979963448,-0.03900000000000012,-0.03900000000000012
42,-0.03800000000000012,0.7748809756268484,0.9781187290638691,0.002928275595433155,0.002928275595433155,0.8819791905740328,0.8819791905740326,3.362784457809062,3.362784457809062,-0.03800000000000012,-0.03800000000000012
43,-0.03700000000000012,0.7937105801682286,0.982013790037908,0.002803037669680386,0.002803037669680386,0.8675342542437999,0.8675342542438,3.418344007162808,3.418344007162809,-0.03700000000000012,-0.03700000000000012
44,-0.03600000000000012,0.8113486602241534,0.9852259683067265,0.002676455508058559,0.002676455508058559,0.851525621670646,0.8515256216706459,3.470368723200746,3.470368723200746,-0.03600000000000012,-0.03600000000000012
45,-0.03500000000000011,0.8278058321937055,0.9878715650157255,0.002549501663232722,0.002549501663232722,0.8338490092144877,0.8338490092144877,3.517896555178667,3.517896555178667,-0.03500000000000011,-0.03500000000000011
46,-0.03400000000000011,0.8431049686510436,0.9900481981330955,0.002423098532154295,0.002423098532154295,0.8144118735904966,0.8144118735904967,3.559874561655458,3.559874561655458,-0.03400000000000011,-0.03400000000000011
47,-0.03300000000000011,0.8572791598993043,0.9918374288468399,0.002298101029892316,0.002298101029892317,0.7931392661480084,0.7931392661480086,3.595174217210896,3.595174217210896,-0.03300000000000011,-0.03300000000000011
48,-0.03200000000000012,0.8703697129534378,0.993307149075715,0.002175283049641908,0.002175283049641909,0.7699803785636254,0.7699803785636254,3.622614982907988,3.622614982907988,-0.03200000000000012,-0.03200000000000012
49,-0.03100000000000012,0.8824242559899962,0.9945137011005495,0.002055327913969314,0.002055327913969314,0.7449154981868484,0.7449154981868485,3.640996964030037,3.640996964030038,-0.03100000000000012,-0.03100000000000012
50,-0.03000000000000012,0.893494997035427,0.9955037268390586,0.001938822759551817,0.001938822759551817,0.7179629457043532,0.7179629457043532,3.649142812727849,3.649142812727849,-0.03000000000000012,-0.03000000000000012
51,-0.02900000000000013,0.9036371679805213,0.9963157601005639,0.001826256578849291,0.001826256578849291,0.6891854236582585,0.6891854236582585,3.645948077885095,3.645948077885095,-0.02900000000000013,-0.02900000000000013
52,-0.02800000000000014,0.9129076697792419,0.9969815836752914,0.001718021479432894,0.001718021479432894,0.6586950882300786,0.6586950882300784,3.630438004987118,3.630438004987118,-0.02800000000000014,-0.02800000000000014
