"time","v","der(v)","flux","flux0"
15.5,-0.004500000000000001,0.001,-1.49489089735817e-08,-1.34944386579954e-08
15.6,-0.0044,0.001,-1.491589568287609e-08,-1.34944386579954e-08
15.7,-0.004300000000000001,0.001,-1.488291379275e-08,-1.34944386579954e-08
15.8,-0.0042,0.001,-1.484996330702614e-08,-1.34944386579954e-08
15.9,-0.004099999999999999,0.001,-1.481704422943994e-08,-1.34944386579954e-08
16,-0.004000000000000001,0.001,-1.478415656363939e-08,-1.34944386579954e-08
16.1,-0.0039,0.001,-1.475130031318509e-08,-1.34944386579954e-08
16.2,-0.0038,0.001,-1.47184754815502e-08,-1.34944386579954e-08
16.3,-0.003699999999999999,0.001,-1.468568207212036e-08,-1.34944386579954e-08
16.4,-0.003600000000000002,0.001,-1.465292008819373e-08,-1.34944386579954e-08
16.5,-0.003500000000000001,0.001,-1.462018953298086e-08,-1.34944386579954e-08
16.6,-0.003399999999999999,0.001,-1.458749040960477e-08,-1.34944386579954e-08
16.7,-0.0033,0.001,-1.455482272110084e-08,-1.34944386579954e-08
16.8,-0.003199999999999999,0.001,-1.452218647041678e-08,-1.34944386579954e-08
16.9,-0.003100000000000003,0.001,-1.448958166041265e-08,-1.34944386579954e-08
17,-0.003,0.001,-1.44570082938608e-08,-1.34944386579954e-08
17.1,-0.002899999999999999,0.001,-1.442446637344584e-08,-1.34944386579954e-08
17.2,-0.002800000000000001,0.001,-1.439195590176462e-08,-1.34944386579954e-08
17.3,-0.002699999999999998,0.001,-1.435947688132622e-08,-1.34944386579954e-08
17.4,-0.002600000000000002,0.001,-1.432702931455185e-08,-1.34944386579954e-08
17.5,-0.002500000000000001,0.001,-1.429461320377498e-08,-1.34944386579954e-08
17.6,-0.002399999999999998,0.001,-1.426222855124114e-08,-1.34944386579954e-08
17.7,-0.002300000000000001,0.001,-1.422987535910802e-08,-1.34944386579954e-08
17.8,-0.0022,0.001,-1.419755362944539e-08,-1.34944386579954e-08
17.9,-0.002100000000000002,0.001,-1.416526336423509e-08,-1.34944386579954e-08
18,-0.002000000000000001,0.001,-1.413300456537106e-08,-1.34944386579954e-08
18.1,-0.0019,0.001,-1.41007772346592e-08,-1.34944386579954e-08
18.2,-0.0018,0.001,-1.406858137381751e-08,-1.34944386579954e-08
18.3,-0.001699999999999999,0.001,-1.403641698447595e-08,-1.34944386579954e-08
18.4,-0.001600000000000002,0.001,-1.400428406817646e-08,-1.34944386579954e-08
18.5,-0.0015,0.001,-1.3972182626373e-08,-1.34944386579954e-08
18.6,-0.001399999999999999,0.001,-1.39401126604314e-08,-1.34944386579954e-08
