"time","l2.v","vc.i","vc.is_peak","vc.v_pulse","vc.vs_peak","vc.v"
1.33,-0.08,-3.336397978739391e-13,0,-0.08,0,-0.08
1.34,-0.08,-3.351197936039582e-13,0,-0.08,0,-0.08
1.35,-0.08,-3.365901236282311e-13,0,-0.08,0,-0.08
1.36,-0.08,-3.380508500270846e-13,0,-0.08,0,-0.08
1.37,-0.08,-3.395020343896068e-13,0,-0.08,0,-0.08
1.38,-0.08,-3.40943737813647e-13,0,-0.08,0,-0.08
1.39,-0.08,-3.423760209058156e-13,0,-0.08,0,-0.08
1.4,-0.08,-3.43798958055898e-13,0,-0.08,0,-0.08
1.41,-0.08,-3.452126150659851e-13,0,-0.08,0,-0.08
1.42,-0.08,-3.466170404810266e-13,0,-0.08,0,-0.08
1.43,-0.08,-3.480122941966252e-13,0,-0.08,0,-0.08
1.44,-0.08,-3.493984356809819e-13,0,-0.08,0,-0.08
1.45,-0.08,-3.50775523974895e-13,0,-0.08,0,-0.08
1.46,-0.08,-3.521436176917606e-13,0,-0.08,0,-0.08
1.47,-0.08,-3.535027750175735e-13,0,-0.08,0,-0.08
1.48,-0.08,-3.548530537109267e-13,0,-0.08,0,-0.08
1.49,-0.08,-3.561945111030123e-13,0,-0.08,0,-0.08
1.5,-0.08,-3.575272040976204e-13,0,-0.08,0,-0.08
1.51,-0.08,-3.588511891711406e-13,0,-0.08,0,-0.08
1.52,-0.08,-3.601665411199347e-13,0,-0.08,0,-0.08
1.53,-0.08,-3.614733097893368e-13,0,-0.08,0,-0.08
1.54,-0.08,-3.627715461116145e-13,0,-0.08,0,-0.08
1.55,-0.08,-3.640613059412983e-13,0,-0.08,0,-0.08
1.56,-0.08,-3.65342644760205e-13,0,-0.08,0,-0.08
1.57,-0.08,-3.666156176774372e-13,0,-0.08,0,-0.08
1.58,-0.08,-3.678802794293833e-13,0,-0.08,0,-0.08
1.59,-0.08,-3.691366843797162e-13,0,-0.08,0,-0.08
1.6,-0.08,-3.703848865193945e-13,0,-0.08,0,-0.08
1.61,-0.08,-3.716249394666599e-13,0,-0.08,0,-0.08
1.62,-0.08,-3.728568964670387e-13,0,-0.08,0,-0.08
1.63,-0.08,-3.740808103933405e-13,0,-0.08,0,-0.08
1.64,-0.08,-3.752967413397408e-13,0,-0.08,0,-0.08
1.65,-0.08,-3.765047362092491e-13,0,-0.08,0,-0.08
1.66,-0.08,-3.777048470358963e-13,0,-0.08,0,-0.08
1.67,-0.08,-3.788971255269684e-13,0,-0.08,0,-0.08
1.68,-0.08,-3.80081623033212e-13,0,-0.08,0,-0.08
1.69,-0.08,-3.81258390548834e-13,0,-0.08,0,-0.08
1.7,-0.08,-3.824274787115039e-13,0,-0.08,0,-0.08
1.71,-0.08,-3.835889378023531e-13,0,-0.08,0,-0.08
1.72,-0.08,-3.847428177459765e-13,0,-0.08,0,-0.08
1.73,-0.08,-3.858891681104332e-13,0,-0.08,0,-0.08
1.74,-0.08,-3.870280381072475e-13,0,-0.08,0,-0.08
1.75,-0.08,-3.881594764084577e-13,0,-0.08,0,-0.08
1.76,-0.08,-3.892835309587319e-13,0,-0.08,0,-0.08
1.77,-0.08,-3.904002503641793e-13,0,-0.08,0,-0.08
1.78,-0.08,-3.915096823746342e-13,0,-0.08,0,-0.08
